ᆜ	j ɯ	jㅡ
강탈하다	k a̠ː ŋ tʰ a̠ ɾ ɦ a̠ d a̠	강탈하다
강퇴	k a̠ː ŋ tʰ w e̞	강퇴
강퍅	k a̠ ŋ pʰ j a̠ k̚	강퍅
강퍅하다	k a̠ ŋ pʰ j a̠ kʰ a̠ d a̠	강퍄카다
강풍	k a̠ ŋ pʰ u ŋ	강풍
강화	k a̠ ŋ β w a̠	강화
강화하다	k a̠ ŋ β w a̠ ɦ a̠ d a̠	강화하다
강활	k a̠ ŋ β w a̠ ɭ	강활
강희자전	k a̠ ŋ ʝ i d͡ʑ a̠ d͡ʑ ʌ̹ n	강히자전
갖	k a̠ t̚	갇
개	k ɛː	개
개가하다	k ɛː ɡ a̠ ɦ a̠ d a̠	개가하다
개같다	k ɛː ɡ a̠ t̚ t͈ a̠	개갇따
개기장	k ɛː ɡ i d͡ʑ a̠ ŋ	개기장
개꿈	k ɛː k͈ u m	개꿈
개꿩	k ɛː k͈ w ʌ̹ ŋ	개꿩
개독교	k ɛː d o̞ k̚ k͈ j o	개독꾜
개량하다	k ɛː ɾ j a̠ ŋ ɦ a̠ d a̠	개량하다
개마고원	k ɛː m a̠ ɡ o̞ w ʌ̹ n	개마고원
개명	k ɛː m j ʌ̹ ŋ	개명
개명되다	k ɛː m j ʌ̹ ŋ d w e̞ d a̠	개명되다
개명하다	k ɛː m j ʌ̹ ŋ ɦ a̠ d a̠	개명하다
개밥바라기	k ɛː b a̠ p̚ p͈ a̠ ɾ a̠ ɡ i	개밥빠라기
개별자	k ɛː b j ʌ̹ ʎ t͡ɕ͈ a̠	개별짜
개사	k ɛː sʰ a̠	개사
개사곡	k ɛː sʰ a̠ ɡ o̞ k̚	개사곡
개사되다	k ɛː sʰ a̠ d w e̞ d a̠	개사되다
개사하다	k ɛː sʰ a̠ ɦ a̠ d a̠	개사하다
개살구	k ɛː sʰ a̠ ɭ ɡ u	개살구
개선되다	k ɛː sʰ ʌ̹ n d w e̞ d a̠	개선되다
개선문	k ɛː sʰ ʌ̹ n m u n	개선문
개선하다	k ɛː sʰ ʌ̹ n ɦ a̠ d a̠	개선하다
개소주	k ɛː sʰ o̞ d͡ʑ u	개소주
개역	k ɛː j ʌ̹ k̚	개역
개인주의	k ɛː i ɲ d͡ʑ u ɰ i	개인주의
개자식	k ɛː d͡ʑ a̠ ɕʰ i k̚	개자식
개장국	k ɛː d͡ʑ a̠ ŋ k͈ u k̚	개장꾹
개조	k ɛː d͡ʑ o̞	개조
개조되다	k ɛː d͡ʑ o̞ d w e̞ d a̠	개조되다
개조하다	k ɛː d͡ʑ o̞ ɦ a̠ d a̠	개조하다
개지랄	k ɛː d͡ʑ i ɾ a̠ ɭ	개지랄
개지랄하다	k ɛː d͡ʑ i ɾ a̠ ɾ ɦ a̠ d a̠	개지랄하다
개집	k ɛː d͡ʑ i p̚	개집
개혁되다	k ɛː ʝ ʌ̹ k̚ t͈ w e̞ d a̠	개헉뙤다
개혁하다	k ɛː ʝ ʌ̹ kʰ a̠ d a̠	개허카다
갯과	k ɛː t̚ k͈ w a̠	갣꽈
갱지	k ɛː ŋ d͡ʑ i	갱지
갸울다	k j a̠ u ɭ d a̠	갸울다
갹	k j a̠ k̚	갹
갹출하다	k j a̠ k̚ t͡ɕʰ u ɾ ɦ a̠ d a̠	갹출하다
거	k ʌ̹	거
거느리다	k ʌ̹ n ɯ ɾ i d a̠	거느리다
거두다	k ʌ̹ d u d a̠	거두다
거듭씨	k ʌ̹ d ɯ p ɕ͈ i	거듭씨
거듭홀소리	k ʌ̹ d ɯ pʰ o̞ ɭ sʰ o̞ ɾ i	거드폴소리
거류	k ʌ̹ ɾ j u	거류
거르다	k ʌ̹ ɾ ɯ d a̠	거르다
거리	k ʌ̹ ɾ i	거리
거릿모티이	k ʌ̹ ɾ i n m o̞ tʰ i i	거린모티이
거무스름하다	k ʌ̹ m u sʰ ɯ ɾ ɯ m ɦ a̠ d a̠	거무스름하다
거서간	k ʌ̹ sʰ ʌ̹ ɡ a̠ n	거서간
거스르다	k ʌ̹ sʰ ɯ ɾ ɯ d a̠	거스르다
거웃	k ʌ̹ u t̚	거욷
거이	k ʌ̹ i	거이
거주자	k ʌ̹ d͡ʑ u d͡ʑ a̠	거주자
거품기	k ʌ̹ pʰ u m ɡ i	거품기
걱정되다	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ d w e̞ d a̠	걱쩡되다
걱정스럽다	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠	걱쩡스럽따
건늠길	k ʌ̹ n n ɯ m ɡ i ɭ	건늠길
건발기	k ʌ̹ n b a̠ ɭ ɡ i	건발기
건초	k ʌ̹ ɲ t͡ɕʰ o̞	건초
걷다	k ʌ̹ t̚ t͈ a̠	걷따
걸	k ʌ̹ ɭ	걸
걸그룹	k ʌ̹ ɭ ɡ ɯ ɾ u p̚	걸그룹
걸림갈음이름씨	k ʌ̹ ʎ ʎ i m ɡ a̠ ɾ ɯ m i ɾ ɯ m ɕ͈ i	걸림가르미름씨
걸림씨	k ʌ̹ ʎ ʎ i m ɕ͈ i	걸림씨
걸어오다	k ʌ̹ ɾ ʌ̹ o̞ d a̠	거러오다
걸쭉하다	k ʌ̹ ʎ t͡ɕ͈ u kʰ a̠ d a̠	걸쭈카다
걸핏걸핏	k ʌ̹ ɭ pʰ i t̚ k͈ ʌ̹ ɭ pʰ i t̚	걸핃껄핃
검스	k ʌ̹ m sʰ ɯ	검스
검양옻나무	k ʌ̹ m j a̠ ŋ o̞ n n a̠ m u	거먕온나무
검열하다	k ʌ̹ m j ʌ̹ ɾ ɦ a̠ d a̠	거멸하다
검은	k ʌ̹ m ɯ n	거믄
검은목논병아리	k ʌ̹ m ɯ n m o̞ ŋ n o̞ n b j ʌ̹ ŋ a̠ ɾ i	거믄몽논병아리
검은목두루미	k ʌ̹ m ɯ n m o̞ k̚ t͈ u ɾ u m i	거믄목뚜루미
검은무리	k ʌ̹ m ɯ n m u ɾ i	거믄무리
검은지빠귀	k ʌ̹ m ɯ ɲ d͡ʑ i p͈ a̠ ɡ ɥ i	거믄지빠귀
겁	k ʌ̹ p̚	겁
겁나다	k ʌ̹ m n a̠ d a̠	검나다
겁먹다	k ʌ̹ m m ʌ̹ k̚ t͈ a̠	검먹따
겁박	k ʌ̹ p̚ p͈ a̠ k̚	겁빡
겁박하다	k ʌ̹ p̚ p͈ a̠ kʰ a̠ d a̠	겁빠카다
것	k ʌ̹ t̚	걷
겉	k ʌ̹ t̚	걷
겉옷	k ʌ̹ tʰ o̞ t̚	거톧
겉장	k ʌ̹ t̚ t͡ɕ͈ a̠ ŋ	걷짱
게	k e̞	게
게니자	k e̞ n i d͡ʑ a̠	게니자
게사니	k e̞ sʰ a̠ n i	게사니
게시되다	k e̞ː ɕʰ i d w e̞ d a̠	게시되다
게양되다	k e̞ː j a̠ ŋ d w e̞ d a̠	게양되다
게양하다	k e̞ː j a̠ ŋ ɦ a̠ d a̠	게양하다
게우다	k e̞ u d a̠	게우다
게이기	k e̞ i ɡ i	게이기
게이다	k e̞ i d a̠	게이다
게임성	k͈ e̞ i m sʰ ʌ̹ ŋ	께임성
게타	k͈ e̞ tʰ a̠	께타
게톱치	k e̞ tʰ o̞ p̚ t͡ɕʰ i	게톱치
겜	k͈ e̞ m	껨
겨	k j ʌ̹	겨
겨란	k j ʌ̹ ɾ a̠ n	겨란
겨르	k j ʌ̹ ɾ ɯ	겨르
겨리	k j ʌ̹ ɾ i	겨리
겨우살이	k j ʌ̹ u sʰ a̠ ɾ i	겨우사리
겨울잠쥐	k j ʌ̹ u ʎ d͡ʑ a̠ m d͡ʑ ɥ i	겨울잠쥐
겨이삭	k j ʌ̹ i sʰ a̠ k̚	겨이삭
겨풀	k j ʌ̹ pʰ u ɭ	겨풀
격	k j ʌ̹ k̚	격
격려되다	k j ʌ̹ ŋ ɲ ʌ̹ d w e̞ d a̠	경너되다
격려하다	k j ʌ̹ ŋ ɲ ʌ̹ ɦ a̠ d a̠	경너하다
격전	k j ʌ̹ k̚ t͡ɕ͈ ʌ̹ n	격쩐
격찬하다	k j ʌ̹ k̚ t͡ɕʰ a̠ n ɦ a̠ d a̠	격찬하다
격파하다	k j ʌ̹ k̚ pʰ a̠ ɦ a̠ d a̠	격파하다
격화하다	k j ʌ̹ kʰ w a̠ ɦ a̠ d a̠	겨콰하다
견	k j ʌ̹ n	견
견과	k j ʌ̹ n ɡ w a̠	견과
견성	k j ʌ̹ n sʰ ʌ̹ ŋ	견성
견실	k j ʌ̹ n ɕʰ i ɭ	견실
결	k j ʌ̹ ɭ	결
결단	k j ʌ̹ ɭ t͈ a̠ n	결딴
결단코	k j ʌ̹ ɭ t͈ a̠ n kʰ o̞	결딴코
결렬	k j ʌ̹ ʎ ʎ ʌ̹ ɭ	결럴
결사옹위	k j ʌ̹ ɭ s͈ a̠ o̞ ŋ ɥ i	결싸옹위
결석하다	k j ʌ̹ ɭ s͈ ʌ̹ kʰ a̠ d a̠	결써카다
결속	k j ʌ̹ ɭ s͈ o̞ k̚	결쏙
결심하다	k j ʌ̹ ɭ ɕ͈ i m ɦ a̠ d a̠	결씸하다
결점	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ m	결쩜
결정수	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ sʰ u	결쩡수
결핍하다	k j ʌ̹ ɭ pʰ i pʰ a̠ d a̠	결피파다
결합하다	k j ʌ̹ ɾ ɦ a̠ pʰ a̠ d a̠	결하파다
결혼하다	k j ʌ̹ ɾ β o̞ n ɦ a̠ d a̠	결혼하다
겸	k j ʌ̹ m	겸
겸하다	k j ʌ̹ m ɦ a̠ d a̠	겸하다
겸허하다	k j ʌ̹ m ɦ ʌ̹ ɦ a̠ d a̠	겸허하다
겹	k j ʌ̹ p̚	겹
겹놓다	k j ʌ̹ m n o̞ tʰ a̠	겸노타
겹빵이	k j ʌ̹ p̚ p͈ a̠ ŋ i	겹빵이
겹치다	k j ʌ̹ p̚ t͡ɕʰ i d a̠	겹치다
경공업	k j ʌ̹ ŋ ɡ o̞ ŋ ʌ̹ p̚	경공업
경기	k j ʌ̹ ŋ ɡ i	경기
경기충청도방언	k j ʌ̹ ŋ ɡ i t͡ɕʰ u ŋ t͡ɕʰ ʌ̹ ŋ d o̞ b a̠ ŋ ʌ̹ n	경기충청도방언
경량	k j ʌ̹ ŋ ɲ a̠ ŋ	경낭
경멸	k j ʌ̹ ŋ m j ʌ̹ ɭ	경멸
경멸감	k j ʌ̹ ŋ m j ʌ̹ ɭ ɡ a̠ m	경멸감
경사	k j ʌ̹ ŋ sʰ a̠	경사
경악하다	k j ʌ̹ ŋ a̠ kʰ a̠ d a̠	경아카다
경옥	k j ʌ̹ ŋ o̞ k̚	경옥
경음기	k j ʌ̹ ŋ ɯ m ɡ i	경음기
경입자	k j ʌ̹ ŋ i p̚ t͡ɕ͈ a̠	경입짜
경작	k j ʌ̹ ŋ d͡ʑ a̠ k̚	경작
경장근	k j ʌ̹ ŋ d͡ʑ a̠ ŋ ɡ ɯ n	경장근
경적	k j ʌ̹ ŋ d͡ʑ ʌ̹ k̚	경적
경죄	k j ʌ̹ ŋ d͡ʑ w e̞	경죄
경청자	k j ʌ̹ ŋ t͡ɕʰ ʌ̹ ŋ d͡ʑ a̠	경청자
경청하다	k j ʌ̹ ŋ t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠	경청하다
경험되다	k j ʌ̹ ŋ ɦ ʌ̹ m d w e̞ d a̠	경험되다
경험론	k j ʌ̹ ŋ ɦ ʌ̹ m n o̞ n	경험논
경험치	k j ʌ̹ ŋ ɦ ʌ̹ m t͡ɕʰ i	경험치
곁	k j ʌ̹ t̚	겯
곁들이다	k j ʌ̹ t̚ t͈ ɯ ɾ i d a̠	겯뜨리다
계	k j e̞	계
계기판	k j e̞ː ɡ i pʰ a̠ n	계기판
계략	k j e̞ː ɾ j a̠ k̚	계략
계림	k j e̞ ɾ i m	계림
계명	k j e̞ m j ʌ̹ ŋ	계명
계부	k j e̞ː b u	계부
계사	k j e̞ː sʰ a̠	계사
계산하다	k j e̞ː sʰ a̠ n ɦ a̠ d a̠	계산하다
계약서	k j e̞ː j a̠ k s͈ ʌ̹	계약써
계약하다	k j e̞ː j a̠ kʰ a̠ d a̠	계야카다
계엄	k j e̞ː ʌ̹ m	계엄
계엄령	k j e̞ː ʌ̹ m ɲ ʌ̹ ŋ	계엄넝
계집	k j e̞ː d͡ʑ i p̚	계집
계집년	k j e̞ː d͡ʑ i m ɲ ʌ̹ n	계짐넌
계집아이	k j e̞ː d͡ʑ i b a̠ i	계지바이
계집종	k j e̞ː d͡ʑ i p̚ t͡ɕ͈ o̞ ŋ	계집쫑
계집질	k j e̞ː d͡ʑ i p̚ t͡ɕ͈ i ɭ	계집찔
계획되다	k j e̞ː β w e̞ k̚ t͈ w e̞ d a̠	계획뙤다
고	k o̞	고
