ᆯ지	ʎ t͡ɕ͈ i	ㄹ찌
가운데소리	k a̠ u n d e̞ sʰ o̞ ɾ i	가운데소리
가위	k a̠ ɥ i	가위
가위바위보	k a̠ ɥ i b a̠ ɥ i b o̞	가위바위보
가을	k a̠ ɯ ɭ	가을
가을철	k a̠ ɯ ʎ t͡ɕʰ ʌ̹ ɭ	가을철
가이드	k a̠ i d ɯ	가이드
가자	k a̠ d͡ʑ a̠	가자
가장자리	k a̠ː d͡ʑ a̠ ŋ d͡ʑ a̠ ɾ i	가장자리
가정법	k a̠ː d͡ʑ ʌ̹ ŋ p͈ ʌ̹ p̚	가정뻡
가제	k a̠ d͡ʑ e̞	가제
가제따	k a̠ d͡ʑ e̞ t͈ a̠	가제따
가젤	k a̠ d͡ʑ e̞ ɭ	가젤
가져가다	k a̠ d͡ʑ ʌ̹ ɡ a̠ d a̠	가저가다
가져오다	k a̠ d͡ʑ ʌ̹ o̞ d a̠	가저오다
가지	k a̠ d͡ʑ i	가지
가지고	k a̠ d͡ʑ i ɡ o̞	가지고
가지다	k a̠ d͡ʑ i d a̠	가지다
가지뿔	k a̠ d͡ʑ i p͈ u ɭ	가지뿔
가차	k a̠ t͡ɕʰ a̠	가차
가축	k a̠ t͡ɕʰ u k̚	가축
가톨릭	k a̠ tʰ o̞ ʎ ʎ i k̚	가톨릭
가톨릭교회	k a̠ tʰ o̞ ʎ ʎ i k̚ k͈ j o β w e̞	가톨릭꾜회
가파르다	k a̠ pʰ a̠ ɾ ɯ d a̠	가파르다
가히	k a̠ː ʝ i	가히
각국	k a̠ k̚ k͈ u k̚	각꾹
각기	k a̠ k̚ k͈ i	각끼
각다귀	k a̠ k̚ t͈ a̠ ɡ ɥ i	각따귀
각도	k a̠ k̚ t͈ o̞	각또
각막	k a̠ ŋ m a̠ k̚	강막
각본	k a̠ k̚ p͈ o̞ n	각뽄
각선미	k a̠ k s͈ ʌ̹ n m i	각썬미
각설	k a̠ k s͈ ʌ̹ ɭ	각썰
각시	k a̠ k ɕ͈ i	각씨
각자	k a̠ k̚ t͡ɕ͈ a̠	각짜
각종	k a̠ k̚ t͡ɕ͈ o̞ ŋ	각쫑
각하	k a̠ kʰ a̠	가카
간간이	k a̠ n ɡ a̠ n i	간가니
간극	k a̠ n ɡ ɯ k̚	간극
간단히	k a̠ n d a̠ n ʝ i	간단히
간드리	k a̠ n d ɯ ɾ i	간드리
간부	k a̠ n b u	간부
간사	k a̠ n sʰ a̠	간사
간사하다	k a̠ n sʰ a̠ ɦ a̠ d a̠	간사하다
간선도로	k a̠ n sʰ ʌ̹ n d o̞ ɾ o̞	간선도로
간성	k a̠ n sʰ ʌ̹ ŋ	간성
간식	k a̠ː n ɕʰ i k̚	간식
간악하다	k a̠ n a̠ kʰ a̠ d a̠	가나카다
간유	k a̠ː ɲ j u	가뉴
간음	k a̠ː n ɯ m	가늠
간절	k a̠ ɲ d͡ʑ ʌ̹ ɭ	간절
간접	k a̠ː ɲ d͡ʑ ʌ̹ p̚	간접
간주	k a̠ː ɲ d͡ʑ u	간주
간지	k a̠ ɲ d͡ʑ i	간지
간지럼	k a̠ ɲ d͡ʑ i ɾ ʌ̹ m	간지럼
간질	k a̠ː ɲ d͡ʑ i ɭ	간질
간질거리다	k a̠ ɲ d͡ʑ i ɭ ɡ ʌ̹ ɾ i d a̠	간질거리다
간질이다	k a̠ ɲ d͡ʑ i ɾ i d a̠	간지리다
간첩	k a̠ː ɲ t͡ɕʰ ʌ̹ p̚	간첩
간체	k a̠ ɲ t͡ɕʰ e̞	간체
간통	k a̠ː n tʰ o̞ ŋ	간통
간판	k a̠ n pʰ a̠ n	간판
간편하다	k a̠ n pʰ j ʌ̹ n ɦ a̠ d a̠	간편하다
간헐천	k a̠ː n ɦ ʌ̹ ʎ t͡ɕʰ ʌ̹ n	간헐천
간호사	k a̠ n β o̞ sʰ a̠	간호사
간혹	k a̠ː n β o̞ k̚	간혹
갈고	k a̠ ɭ ɡ o̞	갈고
갈기	k a̠ː ɭ ɡ i	갈기
갈등	k a̠ ɭ t͈ ɯ ŋ	갈뜽
갈륨	k a̠ ʎ ʎ j u m	갈륨
갈리시아	k a̠ ʎ ʎ i ɕʰ i a̠	갈리시아
갈림길	k a̠ ʎ ʎ i m k͈ i ɭ	갈림낄
갈망	k a̠ ɭ m a̠ ŋ	갈망
갈망하다	k a̠ ɭ m a̠ ŋ ɦ a̠ d a̠	갈망하다
갈비	k a̠ ɭ b i	갈비
갈비뼈	k a̠ ɭ b i p͈ j ʌ̹	갈비뼈
갈비탕	k a̠ ɭ b i tʰ a̠ ŋ	갈비탕
갈수록	k a̠ ɭ s͈ u ɾ o̞ k̚	갈쑤록
갈아타다	k a̠ ɾ a̠ tʰ a̠ d a̠	가라타다
갈증	k a̠ ʎ t͡ɕ͈ ɯ ŋ	갈쯩
갉다	k a̠ k̚ t͈ a̠	각따
감각	k a̠ː m ɡ a̠ k̚	감각
감각적	k a̠ m ɡ a̠ k̚ t͡ɕ͈ ʌ̹ k̚	감각쩍
감금	k a̠ m ɡ ɯ m	감금
감기	k a̠ː m ɡ i	감기
감당	k a̠ m d a̠ ŋ	감당
감당하다	k a̠ m d a̠ ŋ ɦ a̠ d a̠	감당하다
감동	k a̠ː m d o̞ ŋ	감동
감리교	k a̠ m n i ɡ j o	감니교
감마	k a̠ m m a̠	감마
감명	k a̠ m m j ʌ̹ ŋ	감명
감미료	k a̠ m m i ɾ j o	감미료
감방	k a̠ m b a̠ ŋ	감방
감사하다	k a̠ː m sʰ a̠ ɦ a̠ d a̠	감사하다
감상	k a̠ m sʰ a̠ ŋ	감상
감소	k a̠ː m sʰ o̞	감소
감수하다	k a̠ː m sʰ u ɦ a̠ d a̠	감수하다
감시	k a̠ m ɕʰ i	감시
감시하다	k a̠ m ɕʰ i ɦ a̠ d a̠	감시하다
감안	k a̠ m a̠ n	가만
감염	k a̠ː m j ʌ̹ m	가몀
감옥	k a̠ m o̞ k̚	가목
감자튀김	k a̠ m d͡ʑ a̠ tʰ ɥ i ɡ i m	감자튀김
감전	k a̠ː m d͡ʑ ʌ̹ n	감전
감정	k a̠ː m d͡ʑ ʌ̹ ŋ	감정
감초	k a̠ m t͡ɕʰ o̞	감초
감탄	k a̠ː m tʰ a̠ n	감탄
갑분싸	k a̠ p̚ p͈ u n s͈ a̠	갑뿐싸
갑자기	k a̠ p̚ t͡ɕ͈ a̠ ɡ i	갑짜기
갑작스레	k a̠ p̚ t͡ɕ͈ a̠ k s͈ ɯ ɾ e̞	갑짝쓰레
갑충	k a̠ p̚ t͡ɕʰ u ŋ	갑충
갑판	k a̠ p̚ pʰ a̠ n	갑판
강가	k a̠ ŋ k͈ a̠	강까
강간	k a̠ː ŋ ɡ a̠ n	강간
강간하다	k a̠ː ŋ ɡ a̠ n ɦ a̠ d a̠	강간하다
강경	k a̠ ŋ ɡ j ʌ̹ ŋ	강경
강국	k a̠ ŋ ɡ u k̚	강국
강당	k a̠ː ŋ d a̠ ŋ	강당
강력	k a̠ ŋ ɲ j ʌ̹ k̚	강녁
강력하다	k a̠ ŋ ɲ j ʌ̹ kʰ a̠ d a̠	강녀카다
강렬하다	k a̠ ŋ ɲ j ʌ̹ ɾ ɦ a̠ d a̠	강녈하다
강림	k a̠ː ŋ n i m	강님
강물	k a̠ ŋ m u ɭ	강물
강변	k a̠ ŋ b j ʌ̹ n	강변
강설	k a̠ː ŋ sʰ ʌ̹ ɭ	강설
강세	k a̠ ŋ sʰ e̞	강세
강수	k a̠ː ŋ sʰ u	강수
강아지	k a̠ ŋ a̠ d͡ʑ i	가아지
강아지풀	k a̠ ŋ a̠ d͡ʑ i pʰ u ɭ	가아지풀
강요	k a̠ː ŋ j o	가요
강요하다	k a̠ː ŋ j o ɦ a̠ d a̠	가요하다
강원도	k a̠ ŋ w ʌ̹ n d o̞	가원도
강의	k a̠ː ŋ ɰ i	가의
강점기	k a̠ː ŋ d͡ʑ ʌ̹ m ɡ i	강점기
강정	k a̠ ŋ d͡ʑ ʌ̹ ŋ	강정
강제	k a̠ː ŋ d͡ʑ e̞	강제
강조하다	k a̠ ŋ d͡ʑ o̞ ɦ a̠ d a̠	강조하다
강준치	k a̠ ŋ d͡ʑ u ɲ t͡ɕʰ i	강준치
강철	k a̠ ŋ t͡ɕʰ ʌ̹ ɭ	강철
강추	k a̠ ŋ t͡ɕʰ u	강추
강판	k a̠ ŋ pʰ a̠ n	강판
강하다	k a̠ ŋ ɦ a̠ d a̠	강하다
강화도	k a̠ ŋ β w a̠ d o̞	강화도
갖가지	k a̠ t̚ k͈ a̠ d͡ʑ i	갇까지
갖다	k a̠ t̚ t͈ a̠	갇따
같다	k a̠ t̚ t͈ a̠	갇따
같은	k a̠ tʰ ɯ n	가튼
같이	k a̠ t͡ɕʰ i	가치
같이하다	k a̠ t͡ɕʰ i ɦ a̠ d a̠	가치하다
같잖다	k a̠ t̚ t͡ɕ͈ a̠ n tʰ a̠	갇짠타
갚다	k a̠ p̚ t͈ a̠	갑따
개고기	k ɛː ɡ o̞ ɡ i	개고기
개나리	k ɛː n a̠ ɾ i	개나리
개나리꽃	k ɛː n a̠ ɾ i k͈ o̞ t̚	개나리꼳
개다	k ɛː d a̠	개다
개량	k ɛː ɾ j a̠ ŋ	개량
개성	k ɛː sʰ ʌ̹ ŋ	개성
개수	k ɛː s͈ u	개쑤
개요	k ɛː j o	개요
개인적	k ɛː i ɲ d͡ʑ ʌ̹ k̚	개인적
개정판	k ɛː d͡ʑ ʌ̹ ŋ pʰ a̠ n	개정판
개천	k ɛː t͡ɕʰ ʌ̹ n	개천
개체	k ɛː t͡ɕʰ e̞	개체
개판	k ɛː pʰ a̠ n	개판
개혁	k ɛː ʝ j ʌ̹ k̚	개혁
갸웃거리다	k j a̠ u t̚ k͈ ʌ̹ ɾ i d a̠	갸욷꺼리다
갹출	k j a̠ k̚ t͡ɕʰ u ɭ	갹출
거기	k ʌ̹ ɡ i	거기
거드름	k ɘː d ɯ ɾ ɯ m	거드름
거든	k ʌ̹ d ɯ n	거든
거듭	k ʌ̹ d ɯ p̚	거듭
거뜨다	k ʌ̹ t͈ ɯ d a̠	거뜨다
거리다	k ʌ̹ ɾ i d a̠	거리다
거릿모테이	k ʌ̹ ɾ i n m o̞ tʰ e̞ i	거린모테이
거만	k ɘː m a̠ n	거만
거만하다	k ɘː m a̠ n ɦ a̠ d a̠	거만하다
거머리	k ɘː m ʌ̹ ɾ i	거머리
거문고	k ʌ̹ m u n ɡ o̞	거문고
거미	k ʌ̹ m i	거미
거미줄	k ʌ̹ m i d͡ʑ u ɭ	거미줄
거부하다	k ɘː b u ɦ a̠ d a̠	거부하다
거북선	k ʌ̹ b u k s͈ ʌ̹ n	거북썬
거북이	k ʌ̹ b u ɡ i	거부기
거성	k ɘː sʰ ʌ̹ ŋ	거성
거세	k ɘː sʰ e̞	거세
거세다	k ʌ̹ sʰ e̞ d a̠	거세다
거스러미	k ʌ̹ sʰ ɯ ɾ ʌ̹ m i	거스러미
거스름돈	k ʌ̹ sʰ ɯ ɾ ɯ m t͈ o̞ n	거스름똔
거슬리다	k ʌ̹ sʰ ɯ ʎ ʎ i d a̠	거슬리다
거시기	k ʌ̹ ɕʰ i ɡ i	거시기
거실	k ʌ̹ ɕʰ i ɭ	거실
거야	k ɘː j a̠	거야
거역	k ɘː j ʌ̹ k̚	거역
거울	k ʌ̹ u ɭ	거울
거유	k ɘː j u	거유
거의	k ʌ̹ ɰ i	거의
거인	k ɘː i n	거인
거절	k ɘː d͡ʑ ʌ̹ ɭ	거절
거주	k ʌ̹ d͡ʑ u	거주
거주하다	k ʌ̹ d͡ʑ u ɦ a̠ d a̠	거주하다
거즈	k ʌ̹ d͡ʑ ɯ	거즈
거지	k ɘː d͡ʑ i	거지
거짓	k ɘː d͡ʑ i t̚	거짇
거짓말	k ɘː d͡ʑ i n m a̠ ɭ	거진말
거치적거리다	k ʌ̹ t͡ɕʰ i d͡ʑ ʌ̹ k̚ k͈ ʌ̹ ɾ i d a̠	거치적꺼리다
거칠다	k ʌ̹ t͡ɕʰ i ɭ d a̠	거칠다
거품	k ʌ̹ pʰ u m	거품
걱정	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ	걱쩡
건강	k ɘː n ɡ a̠ ŋ	건강
건강하다	k ɘː n ɡ a̠ ŋ ɦ a̠ d a̠	건강하다
건강히	k ɘː n ɡ a̠ ŋ ʝ i	건강히
건너가다	k ɘː n n ʌ̹ ɡ a̠ d a̠	건너가다
건너다	k ɘː n n ʌ̹ d a̠	건너다
건너편	k ɘː n n ʌ̹ pʰ j ʌ̹ n	건너편
건넌편	k ɘː n n ʌ̹ n pʰ j ʌ̹ n	건넌편
건널목	k ɘː n n ʌ̹ ɭ m o̞ k̚	건널목
건네다	k ɘː n n e̞ d a̠	건네다
건답	k ʌ̹ n d a̠ p̚	건답
건더기	k ʌ̹ n d ʌ̹ ɡ i	건더기
건반	k ʌ̹ n b a̠ n	건반
건설	k ɘː n sʰ ʌ̹ ɭ	건설
건설하다	k ɘː n sʰ ʌ̹ ɾ ɦ a̠ d a̠	건설하다
건의	k ɘː n ɰ i	거늬
건전하다	k ʌ̹ ɲ d͡ʑ ʌ̹ n ɦ a̠ d a̠	건전하다
건조	k ʌ̹ ɲ d͡ʑ o̞	건조
건조기	k ʌ̹ ɲ d͡ʑ o̞ ɡ i	건조기
건조하다	k ʌ̹ ɲ d͡ʑ o̞ ɦ a̠ d a̠	건조하다
건지다	k ʌ̹ ɲ d͡ʑ i d a̠	건지다
건축	k ɘː ɲ t͡ɕʰ u k̚	건축
건축가	k ɘː ɲ t͡ɕʰ u k̚ k͈ a̠	건축까
건축물	k ɘː ɲ t͡ɕʰ u ŋ m u ɭ	건충물
걸다	k ɘː ɭ d a̠	걸다
걸레	k ʌ̹ ɭ ɭ e̞	걸레
걸리다	k ʌ̹ ʎ ʎ i d a̠	걸리다
걸신	k ʌ̹ ɭ ɕ͈ i n	걸씬
걸어	k ʌ̹ ɾ ʌ̹	거러
걸어가다	k ʌ̹ ɾ ʌ̹ ɡ a̠ d a̠	거러가다
걸음	k ʌ̹ ɾ ɯ m	거름
걸음마	k ʌ̹ ɾ ɯ m m a̠	거름마
걸인	k ʌ̹ ɾ i n	거린
걸치다	k ɘː ʎ t͡ɕʰ i d a̠	걸치다
걸프렌드	k ʌ̹ ɭ pʰ ɯ ɾ e̞ n d ɯ	걸프렌드
걸핏	k ʌ̹ ɭ pʰ i t̚	걸핃
검다	k ɘː m t͈ a̠	검따
검도	k ɘː m d o̞	검도
검독수리	k ʌ̹ m d o̞ k s͈ u ɾ i	검독쑤리
검둥오리	k ʌ̹ m d u ŋ o̞ ɾ i	검두오리
검둥오리사촌	k ʌ̹ m d u ŋ o̞ ɾ i sʰ a̠ t͡ɕʰ o̞ n	검두오리사촌
검둥이	k ʌ̹ m d u ŋ i	검두이
검사	k ɘː m sʰ a̠	검사
검소하다	k ɘː m sʰ o̞ ɦ a̠ d a̠	검소하다
검술	k ɘː m sʰ u ɭ	검술
검역	k ɘː m j ʌ̹ k̚	거멱
검열	k ɘː m ɲ j ʌ̹ ɭ	검녈
검은금	k ʌ̹ m ɯ n ɡ ɯ m	거믄금
검은딸기	k ʌ̹ m ɯ n t͈ a̠ ɭ ɡ i	거믄딸기
검은머리흰죽지	k ʌ̹ m ɯ n m ʌ̹ ɾ i ʝ i ɲ d͡ʑ u k̚ t͡ɕ͈ i	거믄머리힌죽찌
검정	k ʌ̹ m d͡ʑ ʌ̹ ŋ	검정
검정망둑	k ʌ̹ m d͡ʑ ʌ̹ ŋ m a̠ ŋ d u k̚	검정망둑
검토	k ɘː m tʰ o̞	검토
겉핥다	k ʌ̹ tʰ a̠ ɭ t͈ a̠	거탈따
게다가	k e̞ d a̠ ɡ a̠	게다가
게르마늄	k e̞ ɾ ɯ m a̠ ɲ j u m	게르마늄
게르만	k e̞ ɾ ɯ m a̠ n	게르만
게릴라	k e̞ ɾ i ɭ ɭ a̠	게릴라
게스트하우스	k e̞ sʰ ɯ tʰ ɯ ɦ a̠ u sʰ ɯ	게스트하우스
게시	k e̞ː ɕʰ i	게시
게시판	k e̞ː ɕʰ i pʰ a̠ n	게시판
게시하다	k e̞ː ɕʰ i ɦ a̠ d a̠	게시하다
게으르다	k e̞ ɯ ɾ ɯ d a̠	게으르다
게으름	k e̞ ɯ ɾ ɯ m	게으름
게이샤	k e̞ i ɕʰ a̠	게이사
게이트	k e̞ i tʰ ɯ	게이트
게임	k͈ e̞ i m	께임
게임기	k͈ e̞ i m ɡ i	께임기
게장	k e̞ d͡ʑ a̠ ŋ	게장
겨누다	k j ʌ̹ n u d a̠	겨누다
겨드랑이	k j ʌ̹ d ɯ ɾ a̠ ŋ i	겨드라이
겨레	k j ʌ̹ ɾ e̞	겨레
겨루다	k j ʌ̹ ɾ u d a̠	겨루다
겨를	k j ʌ̹ ɾ ɯ ɭ	겨를
겨우	k j ʌ̹ u	겨우
겨울철	k j ʌ̹ u ʎ t͡ɕʰ ʌ̹ ɭ	겨울철
겨자	k j ʌ̹ d͡ʑ a̠	겨자
격납고	k j ʌ̹ ŋ n a̠ p̚ k͈ o̞	경납꼬
격려	k j ʌ̹ ŋ ɲ j ʌ̹	경녀
격리	k j ʌ̹ ŋ n i	경니
격언	k j ʌ̹ ɡ ʌ̹ n	겨건
겪다	k j ʌ̹ k̚ t͈ a̠	격따
견디다	k j ʌ̹ n d i d a̠	견디다
견본	k j ɘː n b o̞ n	견본
견유	k j ʌ̹ ɲ j u	겨뉴
견주다	k j ʌ̹ ɲ d͡ʑ u d a̠	견주다
결론	k j ʌ̹ ɭ ɭ o̞ n	결론
결심	k j ʌ̹ ɭ ɕ͈ i m	결씸
결장	k j ʌ̹ ʎ t͡ɕ͈ a̠ ŋ	결짱
결정	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ	결쩡
결정되다	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ d w e̞ d a̠	결쩡되다
결정론	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ n o̞ n	결쩡논
결정짓다	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ d͡ʑ i t̚ t͈ a̠	결쩡짇따
결정하다	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ ɦ a̠ d a̠	결쩡하다
결코	k j ʌ̹ ɭ kʰ o̞	결코
결핍	k j ʌ̹ ɭ pʰ i p̚	결핍
결함	k j ʌ̹ ɾ ɦ a̠ m	결함
결합	k j ʌ̹ ɾ ɦ a̠ p̚	결합
결합되다	k j ʌ̹ ɾ ɦ a̠ p̚ t͈ w e̞ d a̠	결합뙤다
결혼	k j ʌ̹ ɾ β o̞ n	결혼
겸손	k j ʌ̹ m sʰ o̞ n	겸손
겸손하다	k j ʌ̹ m sʰ o̞ n ɦ a̠ d a̠	겸손하다
겹다	k j ɘː p̚ t͈ a̠	겹따
경계	k j ʌ̹ ŋ ɡ j e̞	경계
경고	k j ɘː ŋ ɡ o̞	경고
경고창	k j ɘː ŋ ɡ o̞ t͡ɕʰ a̠ ŋ	경고창
경고하다	k j ɘː ŋ ɡ o̞ ɦ a̠ d a̠	경고하다
경관	k j ʌ̹ ŋ ɡ w a̠ n	경관
경구	k j ɘː ŋ k͈ u	경꾸
경기도	k j ʌ̹ ŋ ɡ i d o̞	경기도
경기장	k j ɘː ŋ ɡ i d͡ʑ a̠ ŋ	경기장
경력	k j ʌ̹ ŋ ɲ j ʌ̹ k̚	경녁
경로	k j ʌ̹ ŋ n o̞	경노
경멸적	k j ʌ̹ ŋ m j ʌ̹ ʎ t͡ɕ͈ ʌ̹ k̚	경멸쩍
경보기	k j ɘː ŋ b o̞ ɡ i	경보기
경비원	k j ɘː ŋ b i w ʌ̹ n	경비원
경상남도	k j ɘː ŋ sʰ a̠ ŋ n a̠ m d o̞	경상남도
경상도	k j ɘː ŋ sʰ a̠ ŋ d o̞	경상도
경성	k j ʌ̹ ŋ sʰ ʌ̹ ŋ	경성
경시	k j ʌ̹ ŋ ɕʰ i	경시
경악	k j ʌ̹ ŋ a̠ k̚	겨악
경어	k j ɘː ŋ ʌ̹	겨어
경영	k j ʌ̹ ŋ j ʌ̹ ŋ	겨영
경영자	k j ʌ̹ ŋ j ʌ̹ ŋ d͡ʑ a̠	겨영자
경영하다	k j ʌ̹ ŋ j ʌ̹ ŋ ɦ a̠ d a̠	겨영하다
경외	k j ɘː ŋ w e̞	겨외
경우	k j ʌ̹ ŋ u	겨우
경이롭다	k j ʌ̹ ŋ i ɾ o̞ p̚ t͈ a̠	겨이롭따
경제	k j ʌ̹ ŋ d͡ʑ e̞	경제
경제적	k j ʌ̹ ŋ d͡ʑ e̞ d͡ʑ ʌ̹ k̚	경제적
경주	k j ɘː ŋ d͡ʑ u	경주
경찰	k j ɘː ŋ t͡ɕʰ a̠ ɭ	경찰
경찰서	k j ɘː ŋ t͡ɕʰ a̠ ɭ s͈ ʌ̹	경찰써
경청	k j ʌ̹ ŋ t͡ɕʰ ʌ̹ ŋ	경청
경축	k j ɘː ŋ t͡ɕʰ u k̚	경축
경치	k j ʌ̹ ŋ t͡ɕʰ i	경치
경향	k j ʌ̹ ŋ ʝ j a̠ ŋ	경향
경험	k j ʌ̹ ŋ ɦ ʌ̹ m	경험
경험하다	k j ʌ̹ ŋ ɦ ʌ̹ m ɦ a̠ d a̠	경험하다
계간	k j e̞ ɡ a̠ n	계간
계곡	k j e̞ ɡ o̞ k̚	계곡
계급	k j e̞ ɡ ɯ p̚	계급
계단	k j e̞ d a̠ n	계단
계란	k j e̞ ɾ a̠ n	계란
계란찜	k j e̞ ɾ a̠ ɲ t͡ɕ͈ i m	계란찜
계량경제학	k j e̞ː ɾ j a̠ ŋ ɡ j ʌ̹ ŋ d͡ʑ e̞ ɦ a̠ k̚	계량경제학
계렬	k j e̞ ɾ j ʌ̹ ɭ	계렬
계모	k j e̞ː m o̞	계모
계산	k j e̞ː sʰ a̠ n	계산
계산기	k j e̞ː sʰ a̠ n ɡ i	계산기
계산서	k j e̞ː sʰ a̠ n sʰ ʌ̹	계산서
계산원	k j e̞ː sʰ a̠ n w ʌ̹ n	계사눤
계속	k j e̞ː sʰ o̞ k̚	계속
계속하다	k j e̞ː sʰ o̞ kʰ a̠ d a̠	계소카다
계수	k j e̞ː sʰ u	계수
계승	k j e̞ sʰ ɯ ŋ	계승
계시	k j e̞ː ɕʰ i	계시
계시다	k j e̞ː ɕʰ i d a̠	계시다
계약	k j e̞ː j a̠ k̚	계약
계열	k j e̞ j ʌ̹ ɭ	계열
계절	k j e̞ː d͡ʑ ʌ̹ ɭ	계절
계절적	k j e̞ː d͡ʑ ʌ̹ ʎ t͡ɕ͈ ʌ̹ k̚	계절쩍
계정	k j e̞ː d͡ʑ ʌ̹ ŋ	계정
계좌	k j e̞ː d͡ʑ w a̠	계좌
계층	k j e̞ t͡ɕʰ ɯ ŋ	계층
계통	k j e̞ː tʰ o̞ ŋ	계통
고가교	k o̞ ɡ a̠ ɡ j o	고가교
고고학	k o̞ː ɡ o̞ ɦ a̠ k̚	고고학
고관	k o̞ ɡ w a̠ n	고관
고구려	k o̞ ɡ u ɾ j ʌ̹	고구려
고구마	k o̞ː ɡ u m a̠	고구마
고국	k o̞ː ɡ u k̚	고국
고급	k o̞ ɡ ɯ p̚	고급
