ᆜ	j ɯ
가벼워지다	k a̠ b j ʌ̹ w ʌ̹ d͡ʑ i d a̠
가변	k a̠ b j ʌ̹ n
가보로네	k a̠ b o̞ ɾ o̞ n e̞
가불기	k a̠ b u ɭ ɡ i
가쁘다	k a̠ p͈ ɯ d a̠
가산되다	k a̠ sʰ a̠ n d w e̞ d a̠
가산하다	k a̠ sʰ a̠ n ɦ a̠ d a̠
가설	k a̠ sʰ ʌ̹ ɭ
가설되다	k a̠ sʰ ʌ̹ ɭ d w e̞ d a̠
가설법	k a̠ː sʰ ʌ̹ ɭ p͈ ʌ̹ p̚
가설하다	k a̠ sʰ ʌ̹ ɾ ɦ a̠ d a̠
가성비	k a̠ sʰ ʌ̹ ŋ b i
가세하다	k a̠ sʰ e̞ ɦ a̠ d a̠
가소롭다	k a̠ː sʰ o̞ ɾ o̞ p̚ t͈ a̠
가소제	k a̠ː sʰ o̞ d͡ʑ e̞
가스나이	k a̠ sʰ ɯ n a̠ i
가스파초	k a̠ sʰ ɯ pʰ a̠ t͡ɕʰ o̞
가슴뼈	k a̠ sʰ ɯ m p͈ j ʌ̹
가슴주머니	k a̠ sʰ ɯ m d͡ʑ u m ʌ̹ n i
가시납지리	k a̠ ɕʰ i n a̠ p̚ t͡ɕ͈ i ɾ i
가시두더지	k a̠ ɕʰ i d u d ʌ̹ d͡ʑ i
가시버시	k a̠ ɕʰ i b ʌ̹ ɕʰ i
가시비름	k a̠ ɕʰ i b i ɾ ɯ m
가시어머니	k a̠ ɕʰ i ʌ̹ m ʌ̹ n i
가시집	k a̠ ɕʰ i d͡ʑ i p̚
가식하다	k a̠ː ɕʰ i kʰ a̠ d a̠
가실	k a̠ ɕʰ i ɭ
가쓰오부시	k a̠ s͈ ɯ o̞ b u ɕʰ i
가언적	k a̠ ʌ̹ ɲ d͡ʑ ʌ̹ k̚
가없다	k a̠ː ʌ̹ p̚ t͈ a̠
가연성	k a̠ː j ʌ̹ n s͈ ʌ̹ ŋ
가웃	k a̠ u t̚
가위주먹	k a̠ ɥ i d͡ʑ u m ʌ̹ k̚
가이	k a̠ i
가장	k a̠ d͡ʑ a̠ ŋ
가정	k a̠ d͡ʑ ʌ̹ ŋ
가정교사	k a̠ d͡ʑ ʌ̹ ŋ k j oː sʰ a̠
가정하다	k a̠ː d͡ʑ ʌ̹ ŋ ɦ a̠ d a̠
가주	k a̠ d͡ʑ u
가죽끈	k a̠ d͡ʑ u k̚ k͈ ɯ n
가지가지	k a̠ d͡ʑ i ɡ a̠ d͡ʑ i
가찹다	k a̠ t͡ɕʰ a̠ p̚ t͈ a̠
가창	k a̠ t͡ɕʰ a̠ ŋ
가창오리	k a̠ t͡ɕʰ a̠ ŋ o̞ ɾ i
가철	k a̠ː t͡ɕʰ ʌ̹ ɭ
가체	k a̠ t͡ɕʰ e̞
가타나	k a̠ tʰ a̠ n a̠
가티노	k a̠ tʰ i n o̞
가하다	k a̠ ɦ a̠ d a̠
가혹	k a̠ː β o̞ k̚
각	k a̠ k̚
각골난망	k a̠ k̚ k͈ o̞ ɭ ɭ a̠ n m a̠ ŋ
각목	k a̠ ŋ m o̞ k̚
각오	k a̠ ɡ o̞
간	k a̠ n
간계	k a̠ n ɡ j e̞
간곡	k a̠ː n ɡ o̞ k̚
간곡하다	k a̠ː n ɡ o̞ kʰ a̠ d a̠
간균	k a̠ n ɡ j u n
간나	k a̠ n n a̠
간난	k a̠ n n a̠ n
간단	k a̠ n d a̠ n
간단하다	k a̠ n t͈ a̠ n ɦ a̠ d a̠
간데없이	k a̠ n d e̞ ʌ̹ p ɕ͈ i
간모	k a̠ n m o̞
간물	k a̠ n m u ɭ
간밤	k a̠ n b a̠ m
간병인	k a̠ n b j ʌ̹ ŋ i n
간부회	k a̠ n b u β w e̞
간사히	k a̠ n sʰ a̠ ʝ i
간섭하다	k a̠ n sʰ ʌ̹ pʰ a̠ d a̠
간신	k a̠ n ɕʰ i n
간신히	k a̠ n ɕʰ i n ʝ i
간쑤	k a̠ n s͈ u
간악	k a̠ n a̠ k̚
간장	k a̠ ɲ d͡ʑ a̠ ŋ
간접화법	k a̠ ɲ d͡ʑ ʌ̹ pʰ w a̠ b ʌ̹ p̚
간증	k a̠ ɲ d͡ʑ ɯ ŋ
간직하다	k a̠ ɲ d͡ʑ i kʰ a̠ d a̠
간청	k a̠ː ɲ t͡ɕʰ ʌ̹ ŋ
간청하다	k a̠ː ɲ t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠
간체자	k a̠ ɲ t͡ɕʰ e̞ d͡ʑ a̠
간추리다	k a̠ ɲ t͡ɕʰ u ɾ i d a̠
간파	k a̠ n pʰ a̠
간호	k a̠ n β o̞
간호하다	k a̠ n β o̞ ɦ a̠ d a̠
갇히다	k a̠ t͡ɕʰ i d a̠
갈	k a̠ ɭ
갈겨니	k a̠ ɭ ɡ j ʌ̹ n i
갈고닦다	k a̠ː ɭ ɡ o̞ d a̠ k̚ t͈ a̠
갈고랑이	k a̠ ɭ ɡ o̞ ɾ a̠ ŋ i
갈까마귀	k a̠ ɭ k͈ a̠ m a̠ ɡ ɥ i
갈나무	k a̠ ɭ ɭ a̠ m u
갈다	k a̠ ɭ d a̠
갈닦다	k a̠ː ɭ d a̠ k̚ t͈ a̠
갈라지다	k a̠ ɭ ɭ a̠ d͡ʑ i d a̠
갈리	k a̠ ʎ ʎ i
갈리다	k a̠ ʎ ʎ i d a̠
갈림	k a̠ ʎ ʎ i m
갈문망둑	k a̠ ɭ m u n m a̠ ŋ d u k̚
갈밭	k a̠ ɭ b a̠ t̚
갈밭쥐	k a̠ ɭ b a̠ t̚ t͡ɕ͈ ɥ i
갈보	k a̠ ɭ b o̞
갈보집	k a̠ ɭ b o̞ d͡ʑ i p̚
갈부수다	k a̠ː ɭ b u sʰ u d a̠
갈쓰뚝	k a̠ ɭ s͈ ɯ t͈ u k̚
갈아들다	k a̠ ɾ a̠ d ɯ ɭ d a̠
갈아신다	k a̠ ɾ a̠ ɕʰ i n d a̠
갈아입다	k a̠ ɾ a̠ i p̚ t͈ a̠
갈옷	k a̠ ɾ o̞ t̚
갈음이름씨	k a̠ ɾ ɯ m i ɾ ɯ m ɕ͈ i
갈음하다	k a̠ ɾ ɯ m ɦ a̠ d a̠
갈참나무	k a̠ ʎ t͡ɕʰ a̠ m n a̠ m u
갈치	k a̠ ʎ t͡ɕʰ i
갈퀴	k a̠ ɭ kʰ ɥ i
갈퀴다	k a̠ ɭ kʰ ɥ i d a̠
갈토	k a̠ ɭ tʰ o̞
갉	k a̠ k̚
감	k a̠ m
감기다	k a̠ m ɡ i d a̠
감나무	k a̠ː m n a̠ m u
감당되다	k a̠ m d a̠ ŋ d w e̞ d a̠
감돌고기	k a̠ m d o̞ ɭ ɡ o̞ ɡ i
감동사	k a̠ː m d o̞ ŋ sʰ a̠
감람	k a̠ m n a̠ m
감람나무	k a̠ m n a̠ m n a̠ m u
감로	k a̠ m n o̞
감명되다	k a̠ː m m j ʌ̹ ŋ d w e̞ d a̠
감명하다	k a̠ː m m j ʌ̹ ŋ ɦ a̠ d a̠
감비아	k a̠ m b i a̠
감사	k a̠ m sʰ a̠
감송	k a̠ m sʰ o̞ ŋ
감쇠기	k a̠ː m sʰ w e̞ ɡ i
감수	k a̠ m sʰ u
감숙	k a̠ m sʰ u k̚
감싸다	k a̠ː m s͈ a̠ d a̠
감염증	k a̠ː m j ʌ̹ m t͡ɕ͈ ɯ ŋ
감응	k a̠ m ɯ ŋ
감자	k a̠ m d͡ʑ a̠
감정아이	k a̠ m d͡ʑ ʌ̹ ŋ a̠ i
감지	k a̠ː m d͡ʑ i
감지하다	k a̠ː m d͡ʑ i ɦ a̠ d a̠
감추다	k a̠ m t͡ɕʰ u d a̠
감탄사	k a̠ː m tʰ a̠ n sʰ a̠
감탄하다	k a̠ː m tʰ a̠ n ɦ a̠ d a̠
감투	k a̠ m tʰ u
감파르다	k a̠ː m pʰ a̠ ɾ ɯ d a̠
갑	k a̠ p̚
갑각	k a̠ p̚ k͈ a̠ k̚
갑각류	k a̠ p̚ k͈ a̠ ŋ ɲ u
갑작스럽다	k a̠ p̚ t͡ɕ͈ a̠ k s͈ ɯ ɾ ʌ̹ p̚ t͈ a̠
값	k a̠ p̚
갓	k a̠ t̚
갓난아기	k a̠ n n a̠ n a̠ ɡ i
갓난아이	k a̠ n n a̠ n a̠ i
강	k a̠ ŋ
강계	k a̠ ŋ ɡ j e̞
강구다	k a̠ ŋ ɡ u d a̠
강권	k a̠ ŋ k͈ w ʌ̹ n
강권하다	k a̠ː ŋ ɡ w ʌ̹ n ɦ a̠ d a̠
강남	k a̠ ŋ n a̠ m
강남천자국	k a̠ ŋ n a̠ m t͡ɕʰ ʌ̹ ɲ d͡ʑ a̠ ɡ u k̚
강녕	k a̠ ŋ ɲ ʌ̹ ŋ
강단	k a̠ ŋ d a̠ n
강도다리	k a̠ ŋ d o̞ d a̠ ɾ i
강소	k a̠ ŋ sʰ o̞
강속구	k a̠ ŋ sʰ o̞ k̚ k͈ u
강신무	k a̠ː ŋ ɕʰ i n m u
강압	k a̠ː ŋ a̠ p̚
강어귀	k a̠ ŋ ʌ̹ ɡ ɥ i
강점	k a̠ ŋ t͡ɕ͈ ʌ̹ m
강점되다	k a̠ː ŋ d͡ʑ ʌ̹ m d w e̞ d a̠
강점하다	k a̠ː ŋ d͡ʑ ʌ̹ m ɦ a̠ d a̠
강조	k a̠ ŋ d͡ʑ o̞
강탈	k a̠ː ŋ tʰ a̠ ɭ
강탈되다	k a̠ː ŋ tʰ a̠ ɭ d w e̞ d a̠
강탈하다	k a̠ː ŋ tʰ a̠ ɾ ɦ a̠ d a̠
강퇴	k a̠ː ŋ tʰ w e̞
강퍅	k a̠ ŋ pʰ j a̠ k̚
강퍅하다	k a̠ ŋ pʰ j a̠ kʰ a̠ d a̠
강풍	k a̠ ŋ pʰ u ŋ
강화	k a̠ ŋ β w a̠
강화하다	k a̠ ŋ β w a̠ ɦ a̠ d a̠
강활	k a̠ ŋ β w a̠ ɭ
강희자전	k a̠ ŋ ʝ i d͡ʑ a̠ d͡ʑ ʌ̹ n
갖	k a̠ t̚
개	k ɛː
개가하다	k ɛː ɡ a̠ ɦ a̠ d a̠
개같다	k ɛː ɡ a̠ t̚ t͈ a̠
개기장	k ɛː ɡ i d͡ʑ a̠ ŋ
개꿈	k ɛː k͈ u m
개꿩	k ɛː k͈ w ʌ̹ ŋ
개독교	k ɛː d o̞ k̚ k͈ j o
개량하다	k ɛː ɾ j a̠ ŋ ɦ a̠ d a̠
개마고원	k ɛː m a̠ ɡ o̞ w ʌ̹ n
개명	k ɛː m j ʌ̹ ŋ
개명되다	k ɛː m j ʌ̹ ŋ d w e̞ d a̠
개명하다	k ɛː m j ʌ̹ ŋ ɦ a̠ d a̠
개밥바라기	k ɛː b a̠ p̚ p͈ a̠ ɾ a̠ ɡ i
개별자	k ɛː b j ʌ̹ ʎ t͡ɕ͈ a̠
개사	k ɛː sʰ a̠
개사곡	k ɛː sʰ a̠ ɡ o̞ k̚
개사되다	k ɛː sʰ a̠ d w e̞ d a̠
개사하다	k ɛː sʰ a̠ ɦ a̠ d a̠
개살구	k ɛː sʰ a̠ ɭ ɡ u
개선되다	k ɛː sʰ ʌ̹ n d w e̞ d a̠
개선문	k ɛː sʰ ʌ̹ n m u n
개선하다	k ɛː sʰ ʌ̹ n ɦ a̠ d a̠
개소주	k ɛː sʰ o̞ d͡ʑ u
개역	k ɛː j ʌ̹ k̚
개인주의	k ɛː i ɲ d͡ʑ u ɰ i
개자식	k ɛː d͡ʑ a̠ ɕʰ i k̚
개장국	k ɛː d͡ʑ a̠ ŋ k͈ u k̚
개조	k ɛː d͡ʑ o̞
개조되다	k ɛː d͡ʑ o̞ d w e̞ d a̠
개조하다	k ɛː d͡ʑ o̞ ɦ a̠ d a̠
개지랄	k ɛː d͡ʑ i ɾ a̠ ɭ
개지랄하다	k ɛː d͡ʑ i ɾ a̠ ɾ ɦ a̠ d a̠
개집	k ɛː d͡ʑ i p̚
개혁되다	k ɛː ʝ ʌ̹ k̚ t͈ w e̞ d a̠
개혁하다	k ɛː ʝ ʌ̹ kʰ a̠ d a̠
갯과	k ɛː t̚ k͈ w a̠
갱지	k ɛː ŋ d͡ʑ i
갸울다	k j a̠ u ɭ d a̠
갹	k j a̠ k̚
갹출하다	k j a̠ k̚ t͡ɕʰ u ɾ ɦ a̠ d a̠
거	k ʌ̹
거느리다	k ʌ̹ n ɯ ɾ i d a̠
거두다	k ʌ̹ d u d a̠
거듭씨	k ʌ̹ d ɯ p ɕ͈ i
거듭홀소리	k ʌ̹ d ɯ pʰ o̞ ɭ sʰ o̞ ɾ i
거류	k ʌ̹ ɾ j u
거르다	k ʌ̹ ɾ ɯ d a̠
거리	k ʌ̹ ɾ i
거릿모티이	k ʌ̹ ɾ i n m o̞ tʰ i i
거무스름하다	k ʌ̹ m u sʰ ɯ ɾ ɯ m ɦ a̠ d a̠
거서간	k ʌ̹ sʰ ʌ̹ ɡ a̠ n
거스르다	k ʌ̹ sʰ ɯ ɾ ɯ d a̠
거웃	k ʌ̹ u t̚
거이	k ʌ̹ i
거주자	k ʌ̹ d͡ʑ u d͡ʑ a̠
거품기	k ʌ̹ pʰ u m ɡ i
걱정되다	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ d w e̞ d a̠
걱정스럽다	k ʌ̹ k̚ t͡ɕ͈ ʌ̹ ŋ sʰ ɯ ɾ ʌ̹ p̚ t͈ a̠
건늠길	k ʌ̹ n n ɯ m ɡ i ɭ
건발기	k ʌ̹ n b a̠ ɭ ɡ i
건초	k ʌ̹ ɲ t͡ɕʰ o̞
걷다	k ʌ̹ t̚ t͈ a̠
걸	k ʌ̹ ɭ
걸그룹	k ʌ̹ ɭ ɡ ɯ ɾ u p̚
걸림갈음이름씨	k ʌ̹ ʎ ʎ i m ɡ a̠ ɾ ɯ m i ɾ ɯ m ɕ͈ i
걸림씨	k ʌ̹ ʎ ʎ i m ɕ͈ i
걸어오다	k ʌ̹ ɾ ʌ̹ o̞ d a̠
걸쭉하다	k ʌ̹ ʎ t͡ɕ͈ u kʰ a̠ d a̠
걸핏걸핏	k ʌ̹ ɭ pʰ i t̚ k͈ ʌ̹ ɭ pʰ i t̚
검스	k ʌ̹ m sʰ ɯ
검양옻나무	k ʌ̹ m j a̠ ŋ o̞ n n a̠ m u
검열하다	k ʌ̹ m j ʌ̹ ɾ ɦ a̠ d a̠
검은	k ʌ̹ m ɯ n
검은목논병아리	k ʌ̹ m ɯ n m o̞ ŋ n o̞ n b j ʌ̹ ŋ a̠ ɾ i
검은목두루미	k ʌ̹ m ɯ n m o̞ k̚ t͈ u ɾ u m i
검은무리	k ʌ̹ m ɯ n m u ɾ i
검은지빠귀	k ʌ̹ m ɯ ɲ d͡ʑ i p͈ a̠ ɡ ɥ i
겁	k ʌ̹ p̚
겁나다	k ʌ̹ m n a̠ d a̠
겁먹다	k ʌ̹ m m ʌ̹ k̚ t͈ a̠
겁박	k ʌ̹ p̚ p͈ a̠ k̚
겁박하다	k ʌ̹ p̚ p͈ a̠ kʰ a̠ d a̠
것	k ʌ̹ t̚
겉	k ʌ̹ t̚
겉옷	k ʌ̹ tʰ o̞ t̚
겉장	k ʌ̹ t̚ t͡ɕ͈ a̠ ŋ
게	k e̞
게니자	k e̞ n i d͡ʑ a̠
게사니	k e̞ sʰ a̠ n i
게시되다	k e̞ː ɕʰ i d w e̞ d a̠
게양되다	k e̞ː j a̠ ŋ d w e̞ d a̠
게양하다	k e̞ː j a̠ ŋ ɦ a̠ d a̠
게우다	k e̞ u d a̠
게이기	k e̞ i ɡ i
게이다	k e̞ i d a̠
게임성	k͈ e̞ i m sʰ ʌ̹ ŋ
게타	k͈ e̞ tʰ a̠
게톱치	k e̞ tʰ o̞ p̚ t͡ɕʰ i
겜	k͈ e̞ m
겨	k j ʌ̹
겨란	k j ʌ̹ ɾ a̠ n
겨르	k j ʌ̹ ɾ ɯ
겨리	k j ʌ̹ ɾ i
겨우살이	k j ʌ̹ u sʰ a̠ ɾ i
겨울잠쥐	k j ʌ̹ u ʎ d͡ʑ a̠ m d͡ʑ ɥ i
겨이삭	k j ʌ̹ i sʰ a̠ k̚
겨풀	k j ʌ̹ pʰ u ɭ
격	k j ʌ̹ k̚
격려되다	k j ʌ̹ ŋ ɲ ʌ̹ d w e̞ d a̠
격려하다	k j ʌ̹ ŋ ɲ ʌ̹ ɦ a̠ d a̠
격전	k j ʌ̹ k̚ t͡ɕ͈ ʌ̹ n
격찬하다	k j ʌ̹ k̚ t͡ɕʰ a̠ n ɦ a̠ d a̠
격파하다	k j ʌ̹ k̚ pʰ a̠ ɦ a̠ d a̠
격화하다	k j ʌ̹ kʰ w a̠ ɦ a̠ d a̠
견	k j ʌ̹ n
견과	k j ʌ̹ n ɡ w a̠
견성	k j ʌ̹ n sʰ ʌ̹ ŋ
견실	k j ʌ̹ n ɕʰ i ɭ
결	k j ʌ̹ ɭ
결단	k j ʌ̹ ɭ t͈ a̠ n
결단코	k j ʌ̹ ɭ t͈ a̠ n kʰ o̞
결렬	k j ʌ̹ ʎ ʎ ʌ̹ ɭ
결사옹위	k j ʌ̹ ɭ s͈ a̠ o̞ ŋ ɥ i
결석하다	k j ʌ̹ ɭ s͈ ʌ̹ kʰ a̠ d a̠
결속	k j ʌ̹ ɭ s͈ o̞ k̚
결심하다	k j ʌ̹ ɭ ɕ͈ i m ɦ a̠ d a̠
결점	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ m
결정수	k j ʌ̹ ʎ t͡ɕ͈ ʌ̹ ŋ sʰ u
결핍하다	k j ʌ̹ ɭ pʰ i pʰ a̠ d a̠
결합하다	k j ʌ̹ ɾ ɦ a̠ pʰ a̠ d a̠
결혼하다	k j ʌ̹ ɾ β o̞ n ɦ a̠ d a̠
겸	k j ʌ̹ m
겸하다	k j ʌ̹ m ɦ a̠ d a̠
겸허하다	k j ʌ̹ m ɦ ʌ̹ ɦ a̠ d a̠
겹	k j ʌ̹ p̚
겹놓다	k j ʌ̹ m n o̞ tʰ a̠
겹빵이	k j ʌ̹ p̚ p͈ a̠ ŋ i
겹치다	k j ʌ̹ p̚ t͡ɕʰ i d a̠
경공업	k j ʌ̹ ŋ ɡ o̞ ŋ ʌ̹ p̚
경기	k j ʌ̹ ŋ ɡ i
경기충청도방언	k j ʌ̹ ŋ ɡ i t͡ɕʰ u ŋ t͡ɕʰ ʌ̹ ŋ d o̞ b a̠ ŋ ʌ̹ n
경량	k j ʌ̹ ŋ ɲ a̠ ŋ
경멸	k j ʌ̹ ŋ m j ʌ̹ ɭ
경멸감	k j ʌ̹ ŋ m j ʌ̹ ɭ ɡ a̠ m
경사	k j ʌ̹ ŋ sʰ a̠
경악하다	k j ʌ̹ ŋ a̠ kʰ a̠ d a̠
경옥	k j ʌ̹ ŋ o̞ k̚
경음기	k j ʌ̹ ŋ ɯ m ɡ i
경입자	k j ʌ̹ ŋ i p̚ t͡ɕ͈ a̠
경작	k j ʌ̹ ŋ d͡ʑ a̠ k̚
경장근	k j ʌ̹ ŋ d͡ʑ a̠ ŋ ɡ ɯ n
경적	k j ʌ̹ ŋ d͡ʑ ʌ̹ k̚
경죄	k j ʌ̹ ŋ d͡ʑ w e̞
경청자	k j ʌ̹ ŋ t͡ɕʰ ʌ̹ ŋ d͡ʑ a̠
경청하다	k j ʌ̹ ŋ t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠
경험되다	k j ʌ̹ ŋ ɦ ʌ̹ m d w e̞ d a̠
경험론	k j ʌ̹ ŋ ɦ ʌ̹ m n o̞ n
경험치	k j ʌ̹ ŋ ɦ ʌ̹ m t͡ɕʰ i
곁	k j ʌ̹ t̚
곁들이다	k j ʌ̹ t̚ t͈ ɯ ɾ i d a̠
계	k j e̞
계기판	k j e̞ː ɡ i pʰ a̠ n
계략	k j e̞ː ɾ j a̠ k̚
계림	k j e̞ ɾ i m
계명	k j e̞ m j ʌ̹ ŋ
계부	k j e̞ː b u
계사	k j e̞ː sʰ a̠
계산하다	k j e̞ː sʰ a̠ n ɦ a̠ d a̠
계약서	k j e̞ː j a̠ k s͈ ʌ̹
계약하다	k j e̞ː j a̠ kʰ a̠ d a̠
계엄	k j e̞ː ʌ̹ m
계엄령	k j e̞ː ʌ̹ m ɲ ʌ̹ ŋ
계집	k j e̞ː d͡ʑ i p̚
계집년	k j e̞ː d͡ʑ i m ɲ ʌ̹ n
계집아이	k j e̞ː d͡ʑ i b a̠ i
계집종	k j e̞ː d͡ʑ i p̚ t͡ɕ͈ o̞ ŋ
계집질	k j e̞ː d͡ʑ i p̚ t͡ɕ͈ i ɭ
계획되다	k j e̞ː β w e̞ k̚ t͈ w e̞ d a̠
고	k o̞
고가	k o̞ k͈ a̠
고갈	k o̞ ɡ a̠ ɭ
고금	k o̞ː ɡ ɯ m
고금동서	k o̞ː ɡ ɯ m d o̞ ŋ sʰ ʌ̹
고기	k o̞ ɡ i
고기숨구멍	k o̞ ɡ i sʰ u m ɡ u m ʌ̹ ŋ
고기후학	k o̞ː ɡ i β u ɦ a̠ k̚
고나리	k o̞ n a̠ ɾ i
고나리질	k o̞ n a̠ ɾ i d͡ʑ i ɭ
고단수	k o̞ d a̠ n sʰ u
고독사	k o̞ d o̞ k s͈ a̠
고동	k o̞ d o̞ ŋ
고동물학	k o̞ː d o̞ ŋ m u ɾ ɦ a̠ k̚
고되다	k o̞ d w e̞ d a̠
고두	k o̞ d u
고두하다	k o̞ d u ɦ a̠ d a̠
고둥	k o̞ d u ŋ
고드름	k o̞ d ɯ ɾ ɯ m
고딕체	k o̞ d i k̚ t͡ɕʰ e̞
고레말	k o̞ ɾ e̞ m a̠ ɭ
고로케	k o̞ ɾ o̞ kʰ e̞
고르고	k o̞ ɾ ɯ ɡ o̞
고리도롱뇽	k o̞ ɾ i d o̞ ɾ o̞ ŋ ɲ o ŋ
고리무늬물범	k o̞ ɾ i m u n i m u ɭ b ʌ̹ m
고리짝	k o̞ ɾ i t͡ɕ͈ a̠ k̚
고립지	k o̞ ɾ i p̚ t͡ɕ͈ i
고막	k o̞ m a̠ k̚
고명	k o̞ m j ʌ̹ ŋ
고명하다	k o̞ m j ʌ̹ ŋ ɦ a̠ d a̠
고무락고무락	k o̞ m u ɾ a̠ k̚ k͈ o̞ m u ɾ a̠ k̚
고문관	k o̞ m u n ɡ w a̠ n
고문하다	k o̞ m u n ɦ a̠ d a̠
고물	k o̞ m u ɭ
고물고물	k o̞ m u ɭ ɡ o̞ m u ɭ
고발하다	k o̞ː b a̠ ɾ ɦ a̠ d a̠
고방	k o̞ b a̠ ŋ
고별	k o̞ b j ʌ̹ ɭ
고뿌	k o̞ p͈ u
고뿔	k o̞ p͈ u ɭ
고사	k o̞ sʰ a̠
고소인	k o̞ː sʰ o̞ i n
고소하다	k o̞ sʰ o̞ ɦ a̠ d a̠
고열	k o̞ j ʌ̹ ɭ
고용하다	k o̞ j o ŋ ɦ a̠ d a̠
고위	k o̞ ɥ i
고유명사	k o̞ j u m j ʌ̹ ŋ sʰ a̠
고의	k o̞ː ɰ i
고의사구	k o̞ː ɰ i sʰ a̠ː ɡ u
고이다	k o̞ i d a̠
고인돌	k o̞ i n d o̞ ɭ
고인류학	k o̞ː i ʎ ʎ u ɦ a̠ k̚
고장	k o̞ d͡ʑ a̠ ŋ
고조되다	k o̞ d͡ʑ o̞ d w e̞ d a̠
고지혈증	k o̞ d͡ʑ i ʝ ʌ̹ ʎ d͡ʑ ɯ ŋ
고집불통	k o̞ d͡ʑ i p̚ p͈ u ɭ tʰ o̞ ŋ
고체온	k o̞ t͡ɕʰ e̞ o̞ n
고추나물	k o̞ t͡ɕʰ u n a̠ m u ɭ
고추자지	k o̞ t͡ɕʰ u d͡ʑ a̠ d͡ʑ i
고치	k o̞ t͡ɕʰ i
고치다	k o̞ t͡ɕʰ i d a̠
고하다	k o̞ː ɦ a̠ d a̠
곡	k o̞ k̚
곡선	k o̞ k s͈ ʌ̹ n
곡셱	k o̞ k ɕ͈ e̞ k̚
곡용	k o̞ ɡ j o ŋ
곡창	k o̞ k̚ t͡ɕʰ a̠ ŋ
곤경	k o̞ː n ɡ j ʌ̹ ŋ
곤난	k o̞ n n a̠ n
곤뇽	k o̞ n ɲ o ŋ
곤운	k o̞ n u n
골	k o̞ ɭ
골골	k o̞ ɭ ɡ o̞ ɭ
골다	k o̞ː ɭ d a̠
골짜구니	k o̞ ʎ t͡ɕ͈ a̠ ɡ u n i
골초	k o̞ ʎ t͡ɕʰ o̞
골치	k o̞ ʎ t͡ɕʰ i
