!exclamation-point	ˌɛkskləˈmeɪʃənˌpɔɪnt
"""close-quote"	ˈkloʊzˈkwoʊt
aalseth	ˈɑːlsɛθ
aamodt	ˈɑːmət
aancor	ˈɑːnˌkɔr
aardema	ɑːrˈdɛmə
aardvarks	ˈɑːrdˌvɑːrks
aargh	ˈɑːrg
aaron	ˈɛrən
aaron's	ˈɛrənz
aarons	ˈɛrənz
aaronson	ˈɛrənsən, ˈɑːrənsən
aaronson's	ˈɛrənsənz, ˈɑːrənsənz
aarti	ˈɑːrˌtiː
aase	ˈɑːs
aasen	ˈɑːsən
ab	ˈæb
aba	ˌeɪˌbiːˈeɪ
ababa	əˈbɑːbə, ˈɑːbəbə
abacha	ˈæbəkə
abaco	ˈæbəˌkoʊ
abacus	ˈæbəkəs
abad	əˈbɑːd
abadaka	əˈbædəkə
abadi	əˈbædi
abadie	əˈbædi
abair	əˈbɛr
abalkin	əˈbɑːlkɪn
abalones	ˌæbəˈloʊniːz
abalos	ɑːˈbɑːloʊz
abandoning	əˈbændənɪŋ
abandonments	əˈbændənmənts
abandons	əˈbændənz
abanto	əˈbæntoʊ
abarca	əˈbɑːrkə
abare	ɑːˈbɑːri
abascal	ˈæbəskəl
abashed	əˈbæʃt
abasia	əˈbeɪʒjə
abated	əˈbeɪtɪd
abatements	əˈbeɪtmənts
abba	ˈæbə
abbado	əˈbɑːdoʊ
abbate	ˈɑːbeɪt
abbatiello	ɑːbɑːtiːˈɛloʊ
abbenhaus	ˈæbənˌhaʊs
abbett	əˈbɛt
abbey's	ˈæbiːz
abbie	ˈæbi
abbitt	ˈæbɪt
abbotstown	ˈæbətˈstaʊn
abbott	ˈæbət
abbott's	ˈæbəts
abbottstown	ˈæbətˈstaʊn
abboud	əˈbuːd, əˈbaʊd
abbreviate	əˈbriːviːˌeɪt
abbreviates	əˈbriːviːˌeɪts
abbreviating	əˈbriːviːˌeɪtɪŋ
abbreviations	əˌbriːviːˈeɪʃənz
abbruzzese	ɑːbruːtˈseɪzi
abbs	ˈæbz
abc's	ˈeɪˌbiːˌsiːz
abco	ˈæbkoʊ
abcotek	ˈæbkoʊˌtɛk
abcs	ˈeɪˌbiːˌsiːz
abdalla	ˌæbˈdælə
abdallah	ˌæbˈdælə
abdel	ˈæbˌdɛl
abdella	ˌæbˈdɛlə
abdicate	ˈæbdəˌkeɪt
abdicates	ˈæbdəˌkeɪts
abdicating	ˈæbdɪˌkeɪtɪŋ
abdnor	ˈæbdnɝ
abdo	ˈæbdoʊ
abdollah	ˌæbˈdɑːlə
abdomen	æbˈdoʊmən, ˈæbdəmən
abdominal	æbˈdɑːmənəl, əbˈdɑːmənəl
abduct	æbˈdʌkt
abductee	æbˌdəkˈtiː
abductees	æbˌdəkˈtiːz
abducting	æbˈdʌktɪŋ, əbˈdʌktɪŋ
abduction	æbˈdʌkʃən, əbˈdʌkʃən
abductions	æbˈdʌkʃənz, əbˈdʌkʃənz
abductor	æbˈdʌktɝ, əbˈdʌktɝ
abductors	æbˈdʌktɝz, əbˈdʌktɝz
abducts	æbˈdʌkts
abdulaziz	æbˌduːləˈziːz
abdulla	ɑːbˈduːlə
abdullah	ˌæbˈdʌlə
abed	əˈbɛd
abedi	əˈbɛdi
abee	əˈbiː
abela	ɑːˈbɛlə
abele	əˈbɛl
abeles	əˈbɛlz, ˈeɪbəˌliːz
abell	ˈeɪbəl
abella	əˈbɛlə
abeln	ˈæbɪln
abelow	ˈæbəloʊ
abels	ˈeɪbəlz
abelson	ˈæbɪlsən
abend	ˈæbɛnd, əˈbɛnd
abendroth	ˈæbɪndrɔθ
aber	ˈeɪbɝ
abercrombie	ˌæbɝˈkrɑːmbi
aberford	ˈeɪbɝfɝd
aberg	ˈæbɝg
aberle	ˈæbɝəl, ˈæbɝl
abermin	ˈæbɝmɪn
abernathy	ˈæbɝˌnæθi
abernethy	ˈæbɝˌnɛθi
aberrant	æˈbɛrənt
aberrational	ˌæbɝˈeɪʃənəl
aberrations	ˌæbɝˈeɪʃənz
abert	ˈæbɝt
abex	ˈeɪbɛks
abeyta	ɑːˈbeɪtə
abhor	æbˈhɔr
abhorrence	əbˈhɔrəns
abhorrent	æbˈhɔrənt
abhors	əbˈhɔrz
abiam	ˈeɪbiːəm
abiam's	ˈeɪbiːəmz
abid	ˈeɪbɪd
abidjan	æbɪˈdʒɑːn
abie	ˈæbi
abigail	ˈæbəˌgeɪl
abila	ɑːˈbiːlə
abilene	ˈæbɪˌliːn
abilities	əˈbɪləˌtiːz
ability	əˈbɪləˌtiː
abimael	ˌæbɪˈmeɪl
abimaels	ˌæbɪˈmeɪlz
abio	ˈɑːbiːoʊ
abiola	ˌɑːbiːˈoʊlə
abiola's	ˌɑːbiːˈoʊləz
abiomed	eɪˈbiːəmɛd
abiquiu	əˈbɪkjuː
abitibi	ˌæbɪˈtiːbi
abitz	ˈæbɪts
abject	ˈæbdʒɛkt
abkhazia	æbˈkɑːzjə, æbˈkæzjə
abkhazian	æbˈkɑːziːən, æbˈkæziːən, æbˈkɑːzjən, æbˈkæzjən
abkhazians	æbˈkɑːziːənz, æbˈkæziːənz
able	ˈeɪbəl
able-bodied	ˈeɪbəlˈbɑːdiːd
abler	ˈeɪbəlɝ, ˈeɪblɝ
ables	ˈeɪbəlz
ablest	ˈeɪbəlst, ˈeɪbləst
ably	ˈeɪbli
abnegation	ˌæbnɛˈgeɪʃən
abney	ˈæbni
abnormal	æbˈnɔrməl
abnormalities	ˌæbnɔrˈmælətiːz
abnormality	ˌæbnɔrˈmæləti
abo's	ˈɑːboʊz
abohalima	æbəhəˈliːmə
abolish	əˈbɑːlɪʃ
abolishes	əˈbɑːlɪʃɪz
abolishing	əˈbɑːlɪʃɪŋ
abolitionist	ˌæbəˈlɪʃənəst
abolitionists	ˌæbəˈlɪʃənəsts, ˌæbəˈlɪʃənəs
abominable	əˈbɑːmənəbəl
abomination	əˌbɑːməˈneɪʃən
abominations	əˌbɑːməˈneɪʃənz
aboodi	əˈbuːdi
abor	əˈbɔr
aboriginal	ˌæbɝˈɪdʒənəl
aborigine	ˌæbɝˈɪdʒəni
aborigines	ˌæbɝˈɪdʒəniːz
aborn	əˈbɔrn
abortifacient	əˌbɔrtəˈfeɪʃənt
abortifacients	əˌbɔrtəˈfeɪʃənts
aborting	əˈbɔrtɪŋ
abortionists	əˈbɔrʃənɪsts, əˈbɔrʃənɪs
abortions	əˈbɔrʃənz
aborts	əˈbɔrts
abott	əˈbɑːt
abou	əˈbuː
aboud	ɑːˈbuːd
abouhalima	ˌɑːbuːhɑːˈliːmə
abouhalima's	ˌɑːbuːhɑːˈliːməz
abounded	əˈbaʊndɪd
abounding	əˈbaʊndɪŋ
abounds	əˈbaʊndz
about's	əˈbaʊts
above's	əˈbʌvz
aboveboard	əˈbʌvˌbɔrd
abplanalp	ˈæbplənælp
abra	ˈɑːbrə
abraham	ˈeɪbrəˌhæm
abrahamian	ˌæbrəˈheɪmiːən
abrahams	ˈeɪbrəˌhæmz
abrahamsen	æbrəˈhæmsən
abrahamson	əˈbræhəmsən
abram's	ˈeɪbrəmz
abramczyk	ˈɑːbrəmtʃɪk
abramo	ɑːˈbrɑːmoʊ
abramovitz	əˈbrɑːməvɪts
abramowicz	əˈbrɑːməvɪtʃ
abramowitz	əˈbrɑːməwɪts
abrams's	ˈeɪbrəmzɪz
abramson	ˈeɪbrəmsən
abrasions	əˈbreɪʒənz
abrasive	əˈbreɪsɪv
abrasives	əˈbreɪsɪvz
abraxa	əˈbræksə
abraxa's	əˈbræksəz
abrego	ɑːˈbrɛgoʊ
abreu	əˈbruː
abril	əˈbrɪl
abrogate	ˈæbrəˌgeɪt
abrogated	ˈæbrəˌgeɪtɪd
abrogating	ˈæbrəˌgeɪtɪŋ
abrol	əˈbroʊl
abron	əˈbrɑːn
abrupt	əˈbrʌpt
abruptly	əˈbrʌptli
abruptness	əˈbrʌptnəs
abrutyn	ˈeɪbruːtɪn
abruzzese	ɑːbruːtˈseɪzi
abruzzo	ɑːˈbruːzoʊ
absaraka	æbˈsɑːrəkə
abscam	ˈæbskæm
abscess	ˈæbˌsɛs
absconded	æbˈskɑːndəd
absconding	æbˈskɑːndɪŋ
absconds	æbˈskɑːndz
absecon	ˈæbsəkɔn
absence	ˈæbsəns
absences	ˈæbsənsɪz
absent	ˈæbsənt
absentees	ˌæbsənˈtiːz
absentia	æbˈsɛnʃə
absher	ˈæbʃɝ
abshier	ˈæbʃiːɝ
abshire	ˈæbˌʃaɪr
absinthe	ˈæbsɪnθ
abso	ˈæbsoʊ
absolom	ˈæbsələm
absolut	ˌæbsəˈluːt
absolut's	ˌæbsəˈluːts
absolutes	ˈæbsəˌluːts
absolutism	ˈæbsəˌluːˌtɪzəm
absolve	əbˈzɑːlv, æbˈzɑːlv
absolved	əbˈzɑːlvd, æbˈzɑːlvd
absolves	əbˈzɑːlvz, æbˈzɑːlvz
absolving	əbˈzɑːlvɪŋ, æbˈzɑːlvɪŋ
absorb	əbˈzɔrb
absorbed	əbˈzɔrbd
absorbency	əbˈzɔrbənsi
absorbent	əbˈzɔrbənt
absorber	əbˈzɔrbɝ
absorbers	əbˈzɔrbɝz
absorbing	əbˈzɔrbɪŋ
absorbs	əbˈzɔrbz
absorption	əbˈzɔrpʃən, əbˈsɔrpʃən
abstain	əbˈsteɪn, æbˈsteɪn
abstained	əbˈsteɪnd, æbˈsteɪnd
abstaining	əbˈsteɪnɪŋ, æbˈsteɪnɪŋ
abstention	əbˈstɛntʃən, æbˈstɛntʃən
abstentions	əbˈstɛntʃənz, æbˈstɛntʃənz
abstinent	ˈæbstənənt
abston	ˈæbstən
abstract	æbˈstrækt, ˈæbˌstrækt
abstracted	ˈæbˌstræktɪd
abstraction	æbˈstrækʃən
abstractions	æbˈstrækʃənz
abstracts	ˈæbstrækts
absurd	əbˈsɝːd
absurdist	əbˈsɝːdɪst
absurdities	əbˈsɝːdətiːz
absurdity	əbˈsɝːdəti
absurdly	əbˈsɝːdli
abt	ˈæbt, ˈeɪˈbiːˈtiː
abts	ˈæbts, ˈeɪˈbiːˈtiːz, ˈeɪˈbiːˈtiːˈɛs
abu	ˈæbuː
abudrahm	əˈbʌdrəm
abuellah	əbˈwɛlə
abuellah's	əbˈwɛləz
abuladze	ˌæbjuːˈlædzi
abundance	əˈbʌndəns
abundant	əˈbʌndənt
abundantly	əˈbʌndəntli
aburto	əˈbʊrˌtoʊ
aburto's	əˈbʊrˌtoʊz
abuse	əˈbjuːs, əˈbjuːz
abusers	əˈbjuːzɝz
abuses	əˈbjuːsɪz, əˈbjuːzɪz
abusing	əˈbjuːzɪŋ
abusive	əˈbjuːsɪv
abutted	əˈbʌtəd
abyss	əˈbɪs
abyssinia	æbˈsɪˌniːə
abyssinian	æbˈsɪˌniːən
abzug	ˈæbˌzəg, ˈæbˌzʊg
ac	ˈeɪˈsiː
aca	ˈækə
academia	ˌækəˈdiːmiːə
academically	ˌækəˈdɛmɪkli
academician	ˌækədəˈmɪʃən
academicians	ˌækədəˈmɪʃənz, əˌkædəˈmɪʃənz
academy's	əˈkædəmiːz
acampo	əˈkɑːmpoʊ
acampora	əˈkæmpɝə
acantha	ɑːˈkɑːnðə
acapulco	ˌækəˈpʊlkoʊ
acary	ˈækɝi
accardi	ɑːˈkɑːrdi
accardo	ɑːˈkɑːrdoʊ
acceded	ækˈsiːdɪd
accedes	ækˈsiːdz
acceding	ækˈsiːdɪŋ
accel	əkˈsɛl
accelerants	ækˈsɛlɝənts
accelerate	ækˈsɛlɝˌeɪt
accelerated	ækˈsɛlɝˌeɪtɪd
accelerates	ækˈsɛlɝˌeɪts
accelerating	ækˈsɛlɝˌeɪtɪŋ
acceleration	ˌækˌsɛlɝˈeɪʃən
accelerator	ækˈsɛlɝˌeɪtɝ
accelerators	ækˈsɛlɝˌeɪtɝz
accelerometer	ækˌsɛlɝˈɑːmətɝ
accelerometers	ækˌsɛlɝˈɑːmətɝz
accented	ˈæksɛntɪd
accenting	ˈæksɛntɪŋ
accentuate	ækˈsɛntʃuːeɪt
accentuated	ækˈsɛntʃuːˌeɪtɪd
accentuates	ækˈsɛntʃuːˌeɪts
accentuating	ækˈsɛntʃuːˌeɪtɪŋ
acceptances	ækˈsɛptənsɪz
access	ˈækˌsɛs
accessed	ˈækˌsɛst
accessing	ˈækˌsɛsɪŋ
accession	əkˈsɛʃən
accessories	ækˈsɛsɝiːz
accessorized	ækˈsɛsɝˌaɪzd
accessory	ækˈsɛsɝi
accetta	ɑːˈtʃɛtə
accident	ˈæksədənt
accident's	ˈæksədənts
accidently	ˈæksədəntli
accidents	ˈæksədənts
accion	ˈætʃiːən
accival	ˈæsɪˌvɑːl
acclaim's	əˈkleɪmz
acclimate	ˈækləˌmeɪt
acclimated	ˈækləˌmeɪtɪd
acco	ˈækoʊ
accokeek	ˈækoʊkiːk
accola	ɑːˈkoʊlə
accolade	ˈækəˌleɪd
accolades	ˈækəˌleɪdz
accomando	ɑːkoʊˈmɑːndoʊ
accommodated	əˈkɑːməˌdeɪtəd
accommodates	əˈkɑːməˌdeɪts
accommodations	əˌkɑːməˈdeɪʃənz
accompanied	əˈkʌmpəniːd
accompanies	əˈkʌmpəniːz
accompaniment	əˈkʌmpnɪmənt, əˈkʌmpniːmənt
accompaniments	əˈkʌmpnɪmənts, əˈkʌmpniːmənts
accompanist	əˈkʌmpənəst
accompany	əˈkʌmpəni
accompanying	əˈkʌmpəniːɪŋ
accompli	ˌɑːˈkɑːmpli, əˈkɑːmpli
accomplice	əˈkɑːmpləs
accomplices	əˈkɑːmpləsəz
accomplishes	əˈkɑːmplɪʃɪz
accomplishing	əˈkɑːmplɪʃɪŋ
accor	ˈæˌkɔr
accor's	ˈækɝz
accord's	əˈkɔrdz
accordions	əˈkɔrdiːənz
accords	əˈkɔrdz
accosted	əˈkɑːstəd
accosting	əˈkɑːstɪŋ
account's	əˈkaʊnts
accountant's	əˈkaʊntənts
accountants	əˈkaʊntənts
accountants'	əˈkaʊntənts
accountemp	əˈkaʊnˌtɛmp
accountemps	əˈkaʊnˌtɛmps
accouterments	əˈkuːtɝmənts
accoutrement	əˈkuːtɝmənt
accoutrements	əˈkuːtɝmənts
accra	ˈɑːˌkrɑː
accreditations	əˌkrɛdəˈteɪʃənz
accreted	əˈkriːtɪd
accruals	əˈkruːəlz
accu	ˈækjuː
accuhealth	ˈækjuːˌhɛlθ
accumulates	əˈkjuːmjəˌleɪts
accumulating	əˈkjuːmjəˌleɪtɪŋ
accumulations	əˌkjuːmjəˈleɪʃənz
accumulative	əˈkjuːmjəˌleɪtɪv
accumulatively	əˈkjuːmjəˌleɪtɪvli, əˈkjuːmjələˌtɪvli
accumulators	əˈkjuːmjəˌleɪtɝz
accuracies	ˈækjɝəsiːz
accurately	ˈækjɝətli
accuray	ˈækjɝˌeɪ
accuray's	ˈækjɝˌeɪz
accuride	ˈækjɝˌaɪd
accurso	ɑːˈkʊrsoʊ
accusation	ˌækjəˈzeɪʃən, ˌækjuːˈzeɪʃən
accusations	ˌækjəˈzeɪʃənz, ˌækjuːˈzeɪʃənz
accusers	əˈkjuːzɝz
accutane	ˈækjuːˌteɪn
acecomm	ˈeɪskɑːm
acer	ˈeɪsɝ
acero	əˈsɛroʊ, əsˈjɛroʊ, əˈθɛroʊ
acerra	əˈsɛrə
acetic	əˈsɛtɪk, əˈsiːtɪk
aceto	ɑːˈsɛtoʊ
acetochlor	ɑːˈsɛtoʊˌklɔr
acetosyringone	əˌsɛtoʊˈsɪrɪŋgɔn
acetylcholine	əˌsɛtəlˈkoʊliːn, əˌsiːtəlˈkoʊliːn
acevedo	æsəˈveɪdoʊ
aceves	ɑːˈseɪvɛs
acey	ˈeɪsi
achatz	ˈækəts
ache	ˈeɪk
achebe	ɑːˈtʃeɪbi
achee	əˈtʃiː
achenbach	ˈækɪnbɑːk
achenbaum	ˈækənˌbaʊm
acheson	ˈætʃəsən
acheson's	ˈætʃəsənz
achesons	ˈætʃəsənz
achey	ˈætʃi
achieva	əˈtʃiːvə
achieve	əˈtʃiːv
achiever	əˈtʃiːvɝ
achievers	əˈtʃiːvɝz
achille	əˈkɪli
achilles'	əˈkɪliːz
achingly	ˈeɪkɪŋli
achmed	ˈɑːhmɛd
achoa	əˈtʃoʊə
achoa's	əˈtʃoʊəz
achoo	ˌɑːˈtʃuː
achor	ˈeɪkɝ
achord	ˈækɔrd
achorn	ˈækɝn
achtenberg	ˈæktɛnbɝg
achterberg	ˈæktɝbɝg
acidified	əˈsɪdəˌfaɪd
acidifies	əˈsɪdəˌfaɪz
acidify	əˈsɪdəˌfaɪ
acidity	əˈsɪdəti
acidly	ˈæsədli
acidosis	ˌæsəˈdoʊsəs
aciduria	ˌæsəˈdʊriːə
acierno	ɑːˈsɪrnoʊ
ack	ˈæk
acker	ˈækɝ
acker's	ˈækɝz
ackerley	ˈækɝli
ackerly	ˈækɝli
ackerman	ˈækɝmən
ackermann	ˈækɝmən
ackermanville	ˈækɝmənvɪl
ackerson	ˈækɝsən
ackert	ˈækɝt
ackhouse	ˈækˌhaʊs
ackland	ˈæklənd
ackles	ˈækəlz
ackley	ˈækli
acklin	ˈæklɪn
ackman	ˈækmən
acknowledgeable	ækˈnɑːlɪdʒəbəl
acknowledged	ækˈnɑːlɪdʒd
acknowledgement	ækˈnɑːlɪdʒmənt
acknowledgements	ækˈnɑːlɪdʒmənts
acknowledges	ækˈnɑːlɪdʒɪz
acknowledging	ækˈnɑːlɪdʒɪŋ
acknowledgment	ækˈnɑːlɪdʒmənt
ackroyd	ˈæˌkrɔɪd
ackroyd's	ˈæˌkrɔɪdz
acmat	ˈækmæt
acmat's	ˈækmæts
acme's	ˈækmiːz
acocella	ɑːkoʊˈtʃɛlə
acoff	ˈækɔf
acolytes	ˈækəˌlaɪts
acord	əˈkɔrd
acordia	əˈkɔrdiːə
acorn	ˈeɪkɔrn
acorn's	ˈeɪkɔrnz
acorns	ˈeɪkɔrnz
acosta	əˈkɔstə
acott	ˈeɪkɔt
acoustical	əˈkuːstɪkəl
acoustically	əˈkuːstɪkli
acquaintances	əˈkweɪntənsɪz
acquaintanceship	əˈkweɪntənsʃɪp
acquaviva	ɑːkwɑːˈviːvə
acquiesced	ˌækwiːˈɛst
acquiescence	ˌækwiːˈɛsəns
acquiescing	ˌækwiːˈɛsɪŋ
acquirer	əˈkwaɪɝɝ
acquirer's	əˈkwaɪɝɝz
acquirers	əˈkwaɪɝɝz
acquires	əˈkwaɪɝz
acquisition's	ˌækwəˈzɪʃənz
acquisitions	ˌækwəˈzɪʃənz
acquisitive	əˈkwɪzətɪv
acquitaine	ˈækwɪˌteɪn
acquittals	əˈkwɪtəlz
acquitted	əˈkwɪtɪd
acquitting	əˈkwɪtɪŋ
acre	ˈeɪkɝ
acreage	ˈeɪkərɪdʒ, ˈeɪkrɪdʒ
acree	əˈkriː
acrey	ˈækri
acri	ˈɑːkri
acrimony	ˈækrɪˌmoʊni
acro	ˈækroʊ
acrobatic	ˌækrəˈbætɪk
acrobatics	ˌækrəˈbætɪks
acrobats	ˈækrəˌbæts
acrolein	ˈækroʊˌliːn
acropolis	əˈkrɑːpələs
act's	ˈækts
actava	ˌækˈtɑːvə
actava's	ˌækˈtɑːvəz
actavas	ˌækˈtɑːvəz
actel	ˈæktɛl
actigall	ˈæktɪgɔl
actin	ˈæktən
actinidia	ˌæktɪˈnɪdiːə
actinomycosis	ˌækˌtɪnoʊˌmaɪˈkoʊsɪs
action's	ˈækʃənz
activase	ˈæktɪˌveɪz
activated	ˈæktɪˌveɪtɪd
activates	ˈæktəˌveɪts
activating	ˈæktəˌveɪtɪŋ
activator	ˈæktəˌveɪtɝ
active's	ˈæktɪvz
actively	ˈæktɪvli
actives	ˈæktɪvz
activision	ˈæktɪˌvɪʒən
activism	ˈæktɪˌvɪzəm
activists	ˈæktɪvɪsts
activists'	ˈæktɪvɪsts
activity	ækˈtɪvɪti
actmedia	æktˈmiːdiːə
actodine	ˈæktoʊˌdaɪn
acton	ˈæktən
actor's	ˈæktɝz
actors	ˈæktɝz
actors'	ˈæktɝz
actress's	ˈæktrəsɪz
actresses	ˈæktrəsɪz
acts	ˈækts, ˈæks
actuality	ˌæktʃuːˈæləˌtiː
actualize	ˈækˌtʃuːəˌlaɪz
actually	ˈækˌtʃuːəli, ˈæktʃli, ˈækʃəli
actuarial	ˌækˌtʃuːˈɛriːəl
actuaries	ˈækˌtʃuːˈɛˌriːz
actuary	ˈæktʃuːˈɛˌriː
actuator	ˈæktjuːˌeɪtɝ, ˈæktʃuːˌeɪtɝ
actuators	ˈæktjuːˌeɪtɝz, ˈæktʃuːˌeɪtɝz
actus	ˈæktəs
acuff	əˈkʌf
acumen	əˈkjuːmən
acuna	ɑːˈkuːnə
acura	ˈækjɝə
acura's	ˈækjɝəz
acuras	ˈækjɝəz
acuson	ˌæˈkjuːsən
acustar	ˈækjuːˌstɑːr
acusyst	ˈækjuːsɪst
acuteness	əˈkjuːtnəs
acyclovir	əˈsɪkloʊˌvɪr
ad's	ˈædz
ad-hoc	ˈædˈhɑːk
ad-lib	ˈædˈlɪb
ad-nauseam	ˈædˈnɔziːɑːm
ad-nauseum	ˈædˈnɔziːəm
ada's	ˈeɪdəz
adabel	ˈædəbɛl
adabelle	ˈædəbəl
adachi	ɑːˈdɑːki
adagio	əˈdɑːʒiːˌoʊ
adah	ˈædɑː
adair	əˈdɛr
adaire	ɑːˈdɛr
adak	əˈdæk
adalah	ɑːˈdɑːlə
adalia	ɑːˈdɑːliːə
adam's	ˈædəmz
adamant	ˈædəmənt
adamantly	ˈædəməntli
adamcik	ˈɑːdəmtʃɪk
adamczak	ˈɑːdəmtʃæk
adamczyk	ˈɑːdəmtʃɪk
adame	ɑːˈdɑːmi
adamec	əˈdɑːmɛk
adamek	əˈdɑːmɛk
adames	əˈdeɪmz
adami	ɑːˈdɑːmi
adamik	əˈdɑːmɪk
adamina	ɑːdɑːˈmiːnə
adamkus	ˈædəmkəs
adamo	ɑːˈdɑːmoʊ
adamowicz	əˈdɑːməvɪtʃ
adams	ˈædəmz
adams'	ˈædəmz
adams's	ˈædəmzɪz
adamski	əˈdæmˌskiː
adamson	ˈædəmsən
adamstown	ˈædəmˌstaʊn
adan	ˈeɪdən
adapso	əˈdæpsoʊ
adaptaplex	əˈdæptəˌplɛks
adaptations	ˌædæpˈteɪʃənz, ˌædəpˈteɪʃənz
adaptec	əˈdæpˌtɛk
adaptec's	əˈdæpˌtɛks
adapters	əˈdæptɝz
adapting	əˈdæptɪŋ
adaptor	əˈdæptɝ
adaptors	əˈdæptɝz
adapts	əˈdæpts
adar	əˈdɑːr
adarand	ˈædəˌrænd
adas	ˈeɪdəz
aday	əˈdeɪ
adaza	əˈdɑːzə
adcock	ədˈkɑːk
adcox	ədˈkɑːks
addair	əˈdɛr
addams	ˈædəmz
added	ˈædɪd
addendums	əˈdɛndəmz
addeo	ˈɑːdiːoʊ
adderley	əˈdɝːli
addicks	ˈædɪks
addict	əˈdɪkt, ˈæˌdɪkt
addictions	əˈdɪkʃənz
addicts	əˈdɪkts, ˈæˌdɪkts
addidas	əˈdiːdəs
addidas'	əˈdiːdəs
addidas's	əˈdiːdəsɪz
addidases	əˈdiːdəsɪz
addie	ˈædi
addington	ˈædɪŋtən
addis	ˈɑːdɪs
addis-ababa	ˈɑːdɪsəˈbɑːbɑː, ˈɑːdiːsəˈbɑːbɑː
addison's	ˈædɪsənz
addition	əˈdɪʃən
additionally	əˈdɪʃəˌnəli
additives	ˈædɪtɪvz
addleman	ˈædəlmən
address	ˈæˌdrɛs, æˈdrɛs
addressable	æˈdrɛsəbəl
addressee	ˌædrɛˈsiː
addresses	ˈæˈdrɛsɪz, æˈdrɛsɪz
adduci	ɑːˈduːtʃi
adduct	ˈædəkt
addwest	ˌæˈdwɛst
addy	ˈædi
addyston	ˈædiːstən
adee	əˈdiː
adel	əˈdɛl
adela	əˈdɛlə
adelaar	ˈædəˌlɑːr
adelanto	ædəˈlɑːntoʊ
adelbert	əˈdɛlbɝt
adele's	əˈdɛlz
adeline	ˈædəˌlaɪn
adelizzi	ˌædəˈliːzi
adell	əˈdɛl
adell's	əˈdɛlz
adelle	əˈdɛl
adelman	ˈædəlmən, ˈɛdəlmən
adelmann	ˈædəlmən
adelpha	əˈdɛlfə
adelphi	əˈdɛlfi
adelphia	əˈdɛlfiːə
adelphia's	əˈdɛlfiːəz
adelsberger	ˈædɪlzbɝgɝ
adelson	ˈædəlsən
adelstein	ˈædəlstaɪn, ˈædəlstiːn
aden	ˈeɪdən
adena	ˈædɪnə
adenauer	ˈeɪdəˌnaʊr, ˈædəˌnaʊr
adenine	ˈædəˌniːn
